scene,trajectory_id,split,entry_region,exit_region,od_pair,supported_at_selected_threshold,recording_id,start_x_topview,start_y_topview,end_x_topview,end_y_topview,source_recording_id,start_x,start_y,end_x,end_y
bellevue_ne8th,bellevue_ne8th:126045,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1051.7270739136534,599.6827841892479,1937.6016827538856,640.1254317054907,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1171.6850748697907,662.6886274857952,620.3885542436071,70.60289547082142
bellevue_ne8th,bellevue_ne8th:126057,target_estimation,1,3,1->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,2078.806815137999,525.2579476004164,1070.737116927335,502.63428276611376,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,547.2276374585695,59.71070528897366,686.6238475452764,664.5904060132572
bellevue_ne8th,bellevue_ne8th:126092,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1072.935170684092,595.5655117278955,1854.5028998712446,643.8497829882468,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1060.9338900479395,566.2690002441401,631.9215254350137,77.91567831328412
bellevue_ne8th,bellevue_ne8th:126097,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1049.3973484824537,600.6345512200859,1933.504509848728,675.6057310092516,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1188.034229625354,674.6898039846706,641.4172461307403,71.15585558342207
bellevue_ne8th,bellevue_ne8th:126131,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1049.4202454457397,600.1589379919712,1908.1763157542184,661.6736885889828,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1186.0893939393936,675.1023444898198,636.3269915956434,73.1728705666281
bellevue_ne8th,bellevue_ne8th:126169,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1049.432563596454,599.8533036171207,1936.7502751049972,663.602545343732,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1184.8514012192225,675.3814797141329,634.1100589636595,70.81943479595756
bellevue_ne8th,bellevue_ne8th:126182,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1073.6956909798662,595.5341035744082,2047.5366319467264,638.7740259900794,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1057.940649968927,563.2272881710165,609.6106706099072,62.59504093979337
bellevue_ne8th,bellevue_ne8th:126230,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1061.2237056534,606.0705839651969,1847.7296915372917,663.6384351520713,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1147.2363314541892,608.2345957438148,645.2852189497503,78.66398870294735
bellevue_ne8th,bellevue_ne8th:12624,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1074.5442997004857,595.3240775133031,1703.39246574142,638.9790720365627,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1054.0418603145708,560.0042567397604,650.3846307927909,95.12406747991378
bellevue_ne8th,bellevue_ne8th:12632,target_estimation,1,3,1->3,True,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1901.6993386659442,522.3521538270052,1068.3719654848478,505.2885290873933,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,550.9483981045805,72.89375020807437,703.2352355957024,675.2428046948975
bellevue_ne8th,bellevue_ne8th:126320,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1078.9349117957286,597.370173218547,2287.76496579511,628.4268478507807,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1044.9586858575988,541.6519346294978,588.8213556463061,49.50375387018371
bellevue_ne8th,bellevue_ne8th:126331,target_estimation,1,2,1->2,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,2123.3068576647606,565.5591194370113,1137.0222521504145,724.7522635793852,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,566.8753059156011,57.347978730635184,1180.324199884587,349.63276117498185
bellevue_ne8th,bellevue_ne8th:126345,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1071.3449453814817,594.7111129458037,2087.1557375259927,627.659179959461,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1064.108565451881,573.472648666844,600.7714103929919,59.9961237358324
bellevue_ne8th,bellevue_ne8th:126451,target_estimation,1,3,1->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,2050.5671271051287,527.3019811248727,1071.1471922598275,504.5379501101182,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,549.1286970658733,61.54757799090758,695.2809649843149,660.1079511237858
