scene,endpoint_role,record_type,region_a,region_b,region_size,region_share,reference_center_x,reference_center_y,centroid_x,centroid_y,mean_angle_rad,angular_std_rad,angular_span_rad,mean_radius,median_radius,within_region_mean_spread,within_region_max_spread,pairwise_centroid_distance,pairwise_angular_separation_rad
bellevue_150th_newport,exit,pairwise,1,2.0,,,951.3551315653981,520.8436905818953,,,,,,,,,,334.50311345371557,2.98690243177749
bellevue_150th_newport,exit,pairwise,1,3.0,,,951.3551315653981,520.8436905818953,,,,,,,,,,222.47707571273014,0.8166787294074418
bellevue_150th_newport,exit,pairwise,2,3.0,,,951.3551315653981,520.8436905818953,,,,,,,,,,262.255232119791,2.1702237023700484
bellevue_150th_eastgate,entry,region,0,,3202.0,0.36720183486238533,1040.7080680329373,395.8002342707723,1042.7422104762788,546.3841909933121,1.535536735899776,0.13576173064667507,1.2708711204055723,151.82522113359198,144.107289725239,29.896057854785607,140.20353202192325,,
bellevue_150th_eastgate,entry,region,1,,2170.0,0.24885321100917432,1040.7080680329373,395.8002342707723,811.8702033394709,265.80195827896125,-2.6449929513854045,0.13848911010694145,0.6198768367192384,265.57839639423554,256.76449834217135,50.239365071908,170.10717174746958,,
bellevue_150th_eastgate,entry,region,2,,2750.0,0.31536697247706424,1040.7080680329373,395.8002342707723,1137.973269731226,382.85117181645023,-0.11640808779520331,0.18954230320400114,1.607221465147077,99.47878071490314,107.11379238823062,23.789812659411073,94.94228792652326,,
bellevue_150th_eastgate,entry,region,3,,598.0,0.06857798165137614,1040.7080680329373,395.8002342707723,783.3885671812913,477.0695668136627,2.8411045482544246,0.11321767092482249,0.7232480769367722,271.10265823480063,274.95900851162355,66.85637726827967,262.9840659403667,,
bellevue_150th_eastgate,entry,pairwise,0,1.0,,,1040.7080680329373,395.8002342707723,,,,,,,,,,363.3569498363124,2.1026556198944055
bellevue_150th_eastgate,entry,pairwise,0,2.0,,,1040.7080680329373,395.8002342707723,,,,,,,,,,189.24059556004138,1.6519448236949794
bellevue_150th_eastgate,entry,pairwise,0,3.0,,,1040.7080680329373,395.8002342707723,,,,,,,,,,268.45638270592434,1.3055678123546486
bellevue_150th_eastgate,entry,pairwise,1,2.0,,,1040.7080680329373,395.8002342707723,,,,,,,,,,346.47327212910693,2.528584863590201
bellevue_150th_eastgate,entry,pairwise,1,3.0,,,1040.7080680329373,395.8002342707723,,,,,,,,,,213.1788123013607,0.7970878075397572
bellevue_150th_eastgate,entry,pairwise,2,3.0,,,1040.7080680329373,395.8002342707723,,,,,,,,,,366.8888349872159,2.957512636049628
bellevue_150th_eastgate,exit,region,0,,3011.0,0.3452981651376147,899.060499974089,444.19519979008567,984.9839720061346,597.2098396792959,1.0616792308739145,0.062391777097646844,0.7425406280395306,175.8026756343158,176.19722745821795,10.715014722968522,159.4532270334487,,
bellevue_150th_eastgate,exit,region,1,,1854.0,0.21261467889908256,899.060499974089,444.19519979008567,715.8840867587003,444.4724144612367,-3.113957641196263,0.16552272424489584,0.9541552339286341,184.6944671451673,199.53250055268836,32.47951762718463,159.30253959540326,,
bellevue_150th_eastgate,exit,region,2,,3421.0,0.39231651376146787,899.060499974089,444.19519979008567,891.138717143993,229.72919226920388,-1.6055854394343878,0.10538670359804986,1.5648283221173367,215.39140514095595,216.8540587420426,19.903307517285803,207.22865579393147,,
bellevue_150th_eastgate,exit,region,3,,434.0,0.049770642201834865,899.060499974089,444.19519979008567,1097.5191452473507,452.54723698255555,0.03415539661166086,0.14241200865191242,1.200478197410687,199.96784894608012,207.66732591720216,22.364003997587247,193.02855933511003,,
bellevue_150th_eastgate,exit,pairwise,0,1.0,,,899.060499974089,444.19519979008567,,,,,,,,,,309.4244161381331,2.1075484351094094
bellevue_150th_eastgate,exit,pairwise,0,2.0,,,899.060499974089,444.19519979008567,,,,,,,,,,379.27425180346836,2.6672646703083025
bellevue_150th_eastgate,exit,pairwise,0,3.0,,,899.060499974089,444.19519979008567,,,,,,,,,,183.27966017926119,1.0275238342622537
bellevue_150th_eastgate,exit,pairwise,1,2.0,,,899.060499974089,444.19519979008567,,,,,,,,,,277.1801525161972,1.508372201761875
bellevue_150th_eastgate,exit,pairwise,1,3.0,,,899.060499974089,444.19519979008567,,,,,,,,,,381.72047446578813,3.1350722693716624
bellevue_150th_eastgate,exit,pairwise,2,3.0,,,899.060499974089,444.19519979008567,,,,,,,,,,303.71164309918447,1.6397408360460486
bellevue_150th_se38th,entry,region,0,,778.0,0.3134568896051571,922.9090101312843,246.97847678091242,913.1807629092037,237.98509314874167,-2.3870869974612625,0.13061181313901427,0.9239210936315383,13.345719966727271,13.685058478574197,2.119090961657055,49.206082250571285,,
bellevue_150th_se38th,entry,region,1,,242.0,0.09750201450443191,922.9090101312843,246.97847678091242,1042.2516594651474,443.72883168515534,0.9983794610251322,0.10698308136546605,0.6869811339323479,230.22864967918792,281.00386447442486,73.40425620668854,222.4950572543434,,
bellevue_150th_se38th,entry,region,2,,369.0,0.14867042707493958,922.9090101312843,246.97847678091242,923.538405816328,242.24169907981414,-1.4008928282564548,0.26058105343390636,1.1709359404400708,4.935534460987081,5.140069576784331,1.5208525047219585,4.261459836305412,,
bellevue_150th_se38th,entry,region,3,,604.0,0.24335213537469783,922.9090101312843,246.97847678091242,946.3546951024158,638.0328715067352,1.5120237226545534,0.0703844747062977,0.5969364965564625,392.1361956370733,428.6159350472353,77.17437718686956,391.2087131545542,,
bellevue_150th_se38th,entry,region,4,,125.0,0.050362610797743755,922.9090101312843,246.97847678091242,766.5762242312105,383.18954840489334,2.353172806796352,0.20096343993439336,0.7406146495385777,210.62681470468104,273.83709238086135,125.44451914757093,219.61156168090943,,
bellevue_150th_se38th,entry,region,5,,180.0,0.072522159548751,922.9090101312843,246.97847678091242,687.0300148535614,285.43388932000965,3.0063522052311593,0.14102086836367397,0.7340942498448635,240.10893177392208,314.15878248383535,121.44342808775825,240.0019306133725,,
bellevue_150th_se38th,entry,region,6,,184.0,0.07413376309427881,922.9090101312843,246.97847678091242,933.8519646691271,248.2492619116967,0.08295825831363579,0.20929065250063975,1.1229251525150354,11.187038861189528,11.60879488033217,2.750898585021939,10.447399139749116,,
bellevue_150th_se38th,entry,pairwise,0,1.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,242.8781222850162,2.8977188486931915
bellevue_150th_se38th,entry,pairwise,0,2.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,11.198190061074294,0.9861941692048077
bellevue_150th_se38th,entry,pairwise,0,3.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,401.42089475552484,2.38407458706377
bellevue_150th_se38th,entry,pairwise,0,4.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,206.3424934113741,1.542925502921971
