scene,automatic_entry_region,automatic_exit_region,automatic_od_pair,target_estimation_support_count,target_estimation_support_percentage,support_threshold,low_support_mode,mapped_manual_entry,mapped_manual_exit,mapped_manual_movement,mapped_pair_is_legal,empirical_target_reference_movement,empirical_target_reference_purity,empirical_target_valid_count,empirical_target_movements_json,all_target_reference_movements_json,unique_target_reference_movement_count,target_reference_invalid_count,median_canonical_point_count,short_track_fraction_le_30_points,independent_prediction_count,independent_valid_reference_count,independent_reference_movements_json,observed_in_independent_valid_reference,semantic_duplicate_group_size,duplicate_semantic_movement_flag,empirical_dominant_duplicate_group_size,empirical_dominant_duplicate_flag
bellevue_150th_se38th,0,0,0->0,617,24.858984689766316,0.0025,False,A,G,bellevue_150th_se38th:A>G,True,bellevue_150th_se38th:A>G,1.0,616,"{""bellevue_150th_se38th:A>G"": 616}","{""bellevue_150th_se38th:A>G"": 616}",1,1,289.0,0.0,616,616,"{""bellevue_150th_se38th:A>G"": 616}",True,6,True,10,True
bellevue_150th_se38th,3,1,3->1,571,23.005640612409348,0.0025,False,C,E,bellevue_150th_se38th:C>E,True,bellevue_150th_se38th:C>E,0.926391382405745,557,"{""bellevue_150th_se38th:A>G"": 6, ""bellevue_150th_se38th:A>H"": 30, ""bellevue_150th_se38th:C>E"": 516, ""bellevue_150th_se38th:C>H"": 5}","{""bellevue_150th_se38th:A>G"": 6, ""bellevue_150th_se38th:A>H"": 30, ""bellevue_150th_se38th:C>E"": 516, ""bellevue_150th_se38th:C>H"": 5}",4,14,188.0,0.0,1175,1151,"{""bellevue_150th_se38th:A>G"": 14, ""bellevue_150th_se38th:A>H"": 10, ""bellevue_150th_se38th:C>E"": 1117, ""bellevue_150th_se38th:C>H"": 10}",True,1,False,1,False
bellevue_150th_se38th,2,0,2->0,308,12.409347300564061,0.0025,False,A,G,bellevue_150th_se38th:A>G,True,bellevue_150th_se38th:A>G,1.0,308,"{""bellevue_150th_se38th:A>G"": 308}","{""bellevue_150th_se38th:A>G"": 308}",1,0,292.5,0.0,254,254,"{""bellevue_150th_se38th:A>G"": 254}",True,6,True,10,True
bellevue_150th_se38th,6,1,6->1,173,6.970185334407736,0.0025,False,A,E,bellevue_150th_se38th:A>E,False,bellevue_150th_se38th:A>H,0.9938650306748467,163,"{""bellevue_150th_se38th:A>G"": 1, ""bellevue_150th_se38th:A>H"": 162}","{""bellevue_150th_se38th:A>G"": 1, ""bellevue_150th_se38th:A>H"": 162}",2,10,281.0,0.0,168,164,"{""bellevue_150th_se38th:A>H"": 164}",True,4,True,2,True
bellevue_150th_se38th,1,0,1->0,123,4.955680902497985,0.0025,False,D,G,bellevue_150th_se38th:D>G,True,bellevue_150th_se38th:D>G,1.0,115,"{""bellevue_150th_se38th:D>G"": 115}","{""bellevue_150th_se38th:D>G"": 115}",1,8,308.0,0.0,92,87,"{""bellevue_150th_se38th:D>G"": 87}",True,2,True,1,False
bellevue_150th_se38th,0,2,0->2,119,4.794520547945205,0.0025,False,A,G,bellevue_150th_se38th:A>G,True,bellevue_150th_se38th:A>G,1.0,119,"{""bellevue_150th_se38th:A>G"": 119}","{""bellevue_150th_se38th:A>G"": 119}",1,0,208.0,0.0,258,258,"{""bellevue_150th_se38th:A>G"": 258}",True,6,True,10,True
bellevue_150th_se38th,4,1,4->1,91,3.6663980660757454,0.0025,False,B,E,bellevue_150th_se38th:B>E,True,bellevue_150th_se38th:B>E,0.4835164835164835,91,"{""bellevue_150th_se38th:A>G"": 9, ""bellevue_150th_se38th:B>E"": 44, ""bellevue_150th_se38th:B>H"": 38}","{""bellevue_150th_se38th:A>G"": 9, ""bellevue_150th_se38th:B>E"": 44, ""bellevue_150th_se38th:B>H"": 38}",3,0,358.0,0.0,240,239,"{""bellevue_150th_se38th:A>G"": 22, ""bellevue_150th_se38th:B>E"": 150, ""bellevue_150th_se38th:B>H"": 67}",True,1,False,2,True
bellevue_150th_se38th,5,0,5->0,90,3.62610797743755,0.0025,False,A,G,bellevue_150th_se38th:A>G,True,bellevue_150th_se38th:A>G,0.9,30,"{""bellevue_150th_se38th:A>G"": 27, ""bellevue_150th_se38th:B>G"": 3}","{""bellevue_150th_se38th:A>G"": 27, ""bellevue_150th_se38th:B>G"": 3}",2,60,487.0,0.0,40,13,"{""bellevue_150th_se38th:A>G"": 13}",True,6,True,10,True
bellevue_150th_se38th,5,1,5->1,75,3.0217566478646254,0.0025,False,A,E,bellevue_150th_se38th:A>E,False,bellevue_150th_se38th:B>E,0.3333333333333333,18,"{""bellevue_150th_se38th:A>G"": 5, ""bellevue_150th_se38th:A>H"": 1, ""bellevue_150th_se38th:B>E"": 6, ""bellevue_150th_se38th:B>H"": 6}","{""bellevue_150th_se38th:A>G"": 5, ""bellevue_150th_se38th:A>H"": 1, ""bellevue_150th_se38th:B>E"": 6, ""bellevue_150th_se38th:B>H"": 6}",4,57,432.0,0.0,201,80,"{""bellevue_150th_se38th:A>G"": 23, ""bellevue_150th_se38th:B>E"": 54, ""bellevue_150th_se38th:B>H"": 3}",True,4,True,2,True
bellevue_150th_se38th,1,2,1->2,65,2.6188557614826755,0.0025,False,D,G,bellevue_150th_se38th:D>G,True,bellevue_150th_se38th:D>F,0.9428571428571428,35,"{""bellevue_150th_se38th:D>F"": 33, ""bellevue_150th_se38th:D>G"": 2}","{""bellevue_150th_se38th:D>F"": 33, ""bellevue_150th_se38th:D>G"": 2}",2,30,217.0,0.0,145,75,"{""bellevue_150th_se38th:D>F"": 55, ""bellevue_150th_se38th:D>G"": 20}",True,2,True,1,False
