scene,method,trial_index,fit_random_seed,params_json,n_total,n_clusters,cluster_count_error,n_outliers,pct_outliers,largest_cluster_ratio,fit_time_s,hg_estimated_target,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG,error,untargeted_selection_key_json,hg_expected_selection_key_json,selected_untargeted,selected_hg_expected_aware
bellevue_116th_ne12th,hdbscan,2,20260704,"{""min_cluster_size"": 80, ""min_samples"": 20}",634,3,7,7,1.1041009463722398,0.4194577352472089,0.012832999927923083,10,0.6335595318946218,0.590329762881821,938.7635287687262,0.43771402145922006,0.5504040417411744,,"[-0.6335595318946218, 0.590329762881821, -938.7635287687262, 0.4194577352472089, ""{\""min_cluster_size\"": 80, \""min_samples\"": 20}""]","[7.0, 1.1041009463722398, -0.6335595318946218, 0.590329762881821, -938.7635287687262, 0.4194577352472089, ""{\""min_cluster_size\"": 80, \""min_samples\"": 20}""]",False,False
bellevue_116th_ne12th,hdbscan,3,20260705,"{""min_cluster_size"": 160, ""min_samples"": 10}",634,3,7,0,0.0,0.4148264984227129,0.011797900078818202,10,0.6280549876180954,0.6002543079198633,928.9732612188736,0.4399151333764077,0.5524101672141818,,"[-0.6280549876180954, 0.6002543079198633, -928.9732612188736, 0.4148264984227129, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]","[7.0, 0.0, -0.6280549876180954, 0.6002543079198633, -928.9732612188736, 0.4148264984227129, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]",False,False
bellevue_116th_ne12th,hdbscan,4,20260706,"{""min_cluster_size"": 160, ""min_samples"": 20}",634,3,7,7,1.1041009463722398,0.4194577352472089,0.012760400073602796,10,0.6335595318946218,0.590329762881821,938.7635287687262,0.43771402145922006,0.5504040417411744,,"[-0.6335595318946218, 0.590329762881821, -938.7635287687262, 0.4194577352472089, ""{\""min_cluster_size\"": 160, \""min_samples\"": 20}""]","[7.0, 1.1041009463722398, -0.6335595318946218, 0.590329762881821, -938.7635287687262, 0.4194577352472089, ""{\""min_cluster_size\"": 160, \""min_samples\"": 20}""]",False,False
bellevue_116th_ne12th,hdbscan,5,20260707,"{""min_cluster_size"": 320, ""min_samples"": 10}",634,0,10,634,100.0,,0.009963100077584386,10,,,,0.17500000000000002,0.15000000000000002,,"[1.0, ""Infinity"", ""Infinity"", 1.0, ""{\""min_cluster_size\"": 320, \""min_samples\"": 10}""]","[10.0, 100.0, 1.0, ""Infinity"", ""Infinity"", 1.0, ""{\""min_cluster_size\"": 320, \""min_samples\"": 10}""]",False,False
bellevue_116th_ne12th,hdbscan,6,20260708,"{""min_cluster_size"": 320, ""min_samples"": 20}",634,0,10,634,100.0,,0.011163299903273582,10,,,,0.17500000000000002,0.15000000000000002,,"[1.0, ""Infinity"", ""Infinity"", 1.0, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]","[10.0, 100.0, 1.0, ""Infinity"", ""Infinity"", 1.0, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]",False,False
bellevue_116th_ne12th,optics,1,20260703,"{""max_eps"": 0.028528990860990387, ""min_samples"": 40, ""xi"": 0.05}",634,3,7,434,68.45425867507886,0.425,0.08297310001216829,10,0.965340495392891,0.04912309566539761,62864.578588499615,0.33526735718323925,0.4641762069469916,,"[-0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.05}""]","[7.0, 68.45425867507886, -0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.05}""]",True,False
bellevue_116th_ne12th,optics,2,20260704,"{""max_eps"": 0.0425915111606225, ""min_samples"": 40, ""xi"": 0.05}",634,4,6,265,41.798107255520506,0.32791327913279134,0.20248049998190254,10,0.9290901175698363,0.10691598032267534,28601.636152720723,0.4038089387417336,0.5704080568864385,,"[-0.9290901175698363, 0.10691598032267534, -28601.636152720723, 0.32791327913279134, ""{\""max_eps\"": 0.0425915111606225, \""min_samples\"": 40, \""xi\"": 0.05}""]","[6.0, 41.798107255520506, -0.9290901175698363, 0.10691598032267534, -28601.636152720723, 0.32791327913279134, ""{\""max_eps\"": 0.0425915111606225, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,False
bellevue_116th_ne12th,optics,3,20260705,"{""max_eps"": 0.11784142357479498, ""min_samples"": 40, ""xi"": 0.05}",634,5,5,142,22.397476340694006,0.3353658536585366,0.3728363999398425,10,0.8932878084663689,0.15058500083432474,12226.767924479738,0.4514556739237331,0.6532451621380561,,"[-0.8932878084663689, 0.15058500083432474, -12226.767924479738, 0.3353658536585366, ""{\""max_eps\"": 0.11784142357479498, \""min_samples\"": 40, \""xi\"": 0.05}""]","[5.0, 22.397476340694006, -0.8932878084663689, 0.15058500083432474, -12226.767924479738, 0.3353658536585366, ""{\""max_eps\"": 0.11784142357479498, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,False
bellevue_116th_ne12th,optics,4,20260706,"{""max_eps"": 0.31873943664454396, ""min_samples"": 40, ""xi"": 0.05}",634,5,5,107,16.876971608832807,0.31688804554079697,0.46497890003956854,10,0.8491730113229672,0.25217750893065227,3484.0461859320326,0.45861301034776125,0.6568767845677861,,"[-0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]","[5.0, 16.876971608832807, -0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,True
bellevue_116th_ne12th,optics,5,20260707,"{""max_eps"": 0.028528990860990387, ""min_samples"": 40, ""xi"": 0.07}",634,3,7,434,68.45425867507886,0.425,0.0844972999766469,10,0.965340495392891,0.04912309566539761,62864.578588499615,0.33526735718323925,0.4641762069469916,,"[-0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.07}""]","[7.0, 68.45425867507886, -0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,False
bellevue_116th_ne12th,optics,6,20260708,"{""max_eps"": 0.0425915111606225, ""min_samples"": 40, ""xi"": 0.07}",634,4,6,265,41.798107255520506,0.32791327913279134,0.20157639996614307,10,0.9290901175698363,0.10691598032267534,28601.636152720723,0.4038089387417336,0.5704080568864385,,"[-0.9290901175698363, 0.10691598032267534, -28601.636152720723, 0.32791327913279134, ""{\""max_eps\"": 0.0425915111606225, \""min_samples\"": 40, \""xi\"": 0.07}""]","[6.0, 41.798107255520506, -0.9290901175698363, 0.10691598032267534, -28601.636152720723, 0.32791327913279134, ""{\""max_eps\"": 0.0425915111606225, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,False
bellevue_116th_ne12th,optics,7,20260709,"{""max_eps"": 0.11784142357479498, ""min_samples"": 40, ""xi"": 0.07}",634,5,5,142,22.397476340694006,0.3353658536585366,0.38454409991391003,10,0.8932878084663689,0.15058500083432474,12226.767924479738,0.4514556739237331,0.6532451621380561,,"[-0.8932878084663689, 0.15058500083432474, -12226.767924479738, 0.3353658536585366, ""{\""max_eps\"": 0.11784142357479498, \""min_samples\"": 40, \""xi\"": 0.07}""]","[5.0, 22.397476340694006, -0.8932878084663689, 0.15058500083432474, -12226.767924479738, 0.3353658536585366, ""{\""max_eps\"": 0.11784142357479498, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,False
bellevue_116th_ne12th,optics,8,20260710,"{""max_eps"": 0.31873943664454396, ""min_samples"": 40, ""xi"": 0.07}",634,5,5,107,16.876971608832807,0.31688804554079697,0.41825600003357977,10,0.8491730113229672,0.25217750893065227,3484.0461859320326,0.45861301034776125,0.6568767845677861,,"[-0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.07}""]","[5.0, 16.876971608832807, -0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,False
