scene,method,selection_strategy,split,n_trajectories,hg_estimated_target,coordinate_representation,feature_columns_json,normalization_parameters_json,params_json,fit_random_seed,selection_key_json,trial_index,n_clusters,cluster_count_error,pct_outliers,largest_cluster_ratio,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG
bellevue_150th_se38th,hdbscan,untargeted_selection,model_selection,2865,18,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1238.6788422266638, ""x_min"": 38.01966370669276, ""x_range"": 1238.6788422266638, ""y_min"": 57.85551089662488, ""y_range"": 629.1849372863765}","{""min_cluster_size"": 160, ""min_samples"": 20}",20263706,"[-0.8446770227337581, 0.17582903417973403, -24475.606763903408, 0.3698464025869038, ""{\""min_cluster_size\"": 160, \""min_samples\"": 20}""]",4,3,15,13.647469458987784,0.3698464025869038,0.8446770227337581,0.17582903417973403,24475.606763903408,0.4048524607456096,0.49633398286453057
bellevue_150th_se38th,hdbscan,hg_expected_aware_selection,model_selection,2865,18,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1238.6788422266638, ""x_min"": 38.01966370669276, ""x_range"": 1238.6788422266638, ""y_min"": 57.85551089662488, ""y_range"": 629.1849372863765}","{""min_cluster_size"": 80, ""min_samples"": 10}",20263703,"[11.0, 6.317626527050611, -0.7259351208326912, 0.5811849180045778, -15734.53014300923, 0.29284649776453053, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",1,7,11,6.317626527050611,0.29284649776453053,0.7259351208326912,0.5811849180045778,15734.53014300923,0.4218320414145568,0.602065007395811
bellevue_150th_se38th,optics,untargeted_selection,model_selection,2865,18,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1238.6788422266638, ""x_min"": 38.01966370669276, ""x_range"": 1238.6788422266638, ""y_min"": 57.85551089662488, ""y_range"": 629.1849372863765}","{""max_eps"": 0.020337294551748715, ""min_samples"": 80, ""xi"": 0.05}",20263712,"[-0.931674299852372, 0.09742414159072739, -411333.46792901057, 0.3904861474124412, ""{\""max_eps\"": 0.020337294551748715, \""min_samples\"": 80, \""xi\"": 0.05}""]",10,3,15,33.22862129144852,0.3904861474124412,0.931674299852372,0.09742414159072739,411333.46792901057,0.3710140933886289,0.46553366244211364
bellevue_150th_se38th,optics,hg_expected_aware_selection,model_selection,2865,18,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1238.6788422266638, ""x_min"": 38.01966370669276, ""x_range"": 1238.6788422266638, ""y_min"": 57.85551089662488, ""y_range"": 629.1849372863765}","{""max_eps"": 0.09623894321033927, ""min_samples"": 40, ""xi"": 0.05}",20263706,"[6.0, 23.909249563699827, -0.841277102458385, 0.3085153259582977, -48391.20453844755, 0.3610091743119266, ""{\""max_eps\"": 0.09623894321033927, \""min_samples\"": 40, \""xi\"": 0.05}""]",4,12,6,23.909249563699827,0.3610091743119266,0.841277102458385,0.3085153259582977,48391.20453844755,0.4249271123600957,0.7179002623463407
bellevue_ne8th,kmeans,untargeted_selection,model_selection,6321,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1234.148390845096, ""x_min"": 0.9325880108457056, ""x_range"": 1234.148390845096, ""y_min"": 46.588199811993135, ""y_range"": 643.6102182677295}","{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",20264711,"[-0.8359066000568947, 0.20423971553520234, -24499.506974623455, 0.23635500711912671, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",9,10,1,0.0,0.23635500711912671,0.8359066000568947,0.20423971553520234,24499.506974623455,0.6846798018968667,0.8956442189472456
bellevue_ne8th,kmeans,hg_expected_aware_selection,model_selection,6321,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1234.148390845096, ""x_min"": 0.9325880108457056, ""x_range"": 1234.148390845096, ""y_min"": 46.588199811993135, ""y_range"": 643.6102182677295}","{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",20264710,"[0.0, -0.8305133250530503, 0.2151128395716973, -22918.70895804184, 0.23635500711912671, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]",8,9,0,0.0,0.23635500711912671,0.8305133250530503,0.2151128395716973,22918.70895804184,0.95903860737403,0.9501870492073201
bellevue_ne8th,hdbscan,untargeted_selection,model_selection,6321,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1234.148390845096, ""x_min"": 0.9325880108457056, ""x_range"": 1234.148390845096, ""y_min"": 46.588199811993135, ""y_range"": 643.6102182677295}","{""min_cluster_size"": 80, ""min_samples"": 20}",20264704,"[-0.7691477474295804, 0.33664398043305305, -39957.41867717768, 0.2467039913310457, ""{\""min_cluster_size\"": 80, \""min_samples\"": 20}""]",2,14,5,12.4031007751938,0.2467039913310457,0.7691477474295804,0.33664398043305305,39957.41867717768,0.4680545720279451,0.6360172462567922
bellevue_ne8th,hdbscan,hg_expected_aware_selection,model_selection,6321,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1234.148390845096, ""x_min"": 0.9325880108457056, ""x_range"": 1234.148390845096, ""y_min"": 46.588199811993135, ""y_range"": 643.6102182677295}","{""min_cluster_size"": 160, ""min_samples"": 10}",20264705,"[0.0, 5.189052365132099, -0.7619957418445035, 0.380962710316216, -44738.920619835764, 0.22793258801935593, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]",3,9,0,5.189052365132099,0.22793258801935593,0.7619957418445035,0.380962710316216,44738.920619835764,0.9411350492903835,0.9273416750207415
bellevue_ne8th,optics,untargeted_selection,model_selection,6321,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1234.148390845096, ""x_min"": 0.9325880108457056, ""x_range"": 1234.148390845096, ""y_min"": 46.588199811993135, ""y_range"": 643.6102182677295}","{""max_eps"": 0.044077065525483884, ""min_samples"": 40, ""xi"": 0.07}",20264710,"[-0.9149904996995527, 0.18117893169845273, -132198.12737291353, 0.356911696717522, ""{\""max_eps\"": 0.044077065525483884, \""min_samples\"": 40, \""xi\"": 0.07}""]",8,10,1,65.78073089700996,0.356911696717522,0.9149904996995527,0.18117893169845273,132198.12737291353,0.5458274826096353,0.7576025161445096
bellevue_ne8th,optics,hg_expected_aware_selection,model_selection,6321,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1234.148390845096, ""x_min"": 0.9325880108457056, ""x_range"": 1234.148390845096, ""y_min"": 46.588199811993135, ""y_range"": 643.6102182677295}","{""max_eps"": 0.044077065525483884, ""min_samples"": 80, ""xi"": 0.05}",20264714,"[0.0, 63.18620471444392, -0.9115030360723186, 0.16986930767314956, -182747.5201196508, 0.32874946282767514, ""{\""max_eps\"": 0.044077065525483884, \""min_samples\"": 80, \""xi\"": 0.05}""]",12,9,0,63.18620471444392,0.32874946282767514,0.9115030360723186,0.16986930767314956,182747.5201196508,0.8290676129860796,0.8218074298801984
