scene_id,recording_id,trajectory_source_path,trajectory_source_checksum,trajectory_source_size_bytes,trajectory_source_rows,trajectory_source_row_groups,source_recording_file,video_exists,video_size_bytes,video_checksum_policy
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_07-08-31,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_07-08-31.parquet,135e16ba4797365ed168a2fd0b393e9b1892a97af6996599b341492f7c3df771,78160851,2693995,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_07-08-31.mp4,True,761005255,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_08-08-31,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_08-08-31.parquet,da616472ea735037397fd9e713573c5eea26b05f359c7672e99e077b38cfdff4,95623736,3273554,4,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_08-08-31.mp4,True,832614930,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_09-08-31,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_09-08-31.parquet,b56bcf862fc055d527ecdd02c280ba9afd7f6976afa1a9d68b1ca1f5013891e9,94423253,3251584,4,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_09-08-31.mp4,True,762633956,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_10-08-31,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_10-08-31.parquet,0ed730759a0908fc1e69ec013eabc89db74ff9e8a260f409a89d7e9c3c8d9432,77483200,2687551,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_10-08-31.mp4,True,682782826,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_11-08-32,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_11-08-32.parquet,c57f7c584ccd78e6b38522007e7d7d8b12cbf9f8fc9d930793ae20e83cc81197,74113111,2547396,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_11-08-32.mp4,True,668945957,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_12-08-32,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_12-08-32.parquet,a8537a6426e5fe7f80602ce6389ddf1fbba82e79da5c41cb3f80dc6fceb5afdf,77966227,2684562,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_12-08-32.mp4,True,675577192,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_13-08-32,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_13-08-32.parquet,50220857fc390e50af633a12d3454dad2c14eccb17ee40fe11714687d8d4dd55,63014023,2165586,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_13-08-32.mp4,True,569566422,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_14-08-31,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_14-08-31.parquet,e76a7c0917b10fbb0b0dba5c9de1f947aee995c2a7fd8edca96ea1955f8257f4,69616431,2373194,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_14-08-31.mp4,True,640424162,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_15-08-33,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_15-08-33.parquet,1f0d7e2bea2ad1be56eb64c89c5f9d69a400637d54ebec0eb89b4ffabca64e4b,77787273,2659192,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_15-08-33.mp4,True,695726656,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_16-08-33,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_16-08-33.parquet,10eb76b071328bb0a0a59fa7b3333baa776852dd9663aa10f750dcd149e93b53,80355912,2742448,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_16-08-33.mp4,True,707055549,sha256_on_demand_before_clip_or_frame_use
