scene_id,split,entry_polygon_id,exit_polygon_id,movement_id,maneuver_type,valid_assigned_count,percentage_of_valid_assigned,observed,first_five_evidence_trajectory_ids,recording_coverage_count,recording_coverage_ids,first_start_frame,last_end_frame,protocol_version
bellevue_150th_newport,target_estimation,D,G,bellevue_150th_newport:D>G,left,136,5.84443489471,True,bellevue_150th_newport:100741|bellevue_150th_newport:10325|bellevue_150th_newport:106635|bellevue_150th_newport:10825|bellevue_150th_newport:109084,9,Bellevue_150th_Newport__2017-09-10_18-08-24|Bellevue_150th_Newport__2017-09-10_19-08-24|Bellevue_150th_Newport__2017-09-10_20-08-25|Bellevue_150th_Newport__2017-09-10_21-08-28|Bellevue_150th_Newport__2017-09-10_23-08-29|Bellevue_150th_Newport__2017-09-11_04-08-29|Bellevue_150th_Newport__2017-09-11_05-08-29|Bellevue_150th_Newport__2017-09-11_06-08-30|Bellevue_150th_Newport__2017-09-11_07-08-31,1783,107973,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,A,F,bellevue_150th_eastgate:A>F,right,1226,14.4677838093,True,bellevue_150th_eastgate:100710|bellevue_150th_eastgate:100720|bellevue_150th_eastgate:101069|bellevue_150th_eastgate:102204|bellevue_150th_eastgate:102345,14,Bellevue_150th_Eastgate__2017-09-10_18-08-24|Bellevue_150th_Eastgate__2017-09-10_19-08-25|Bellevue_150th_Eastgate__2017-09-10_20-08-25|Bellevue_150th_Eastgate__2017-09-10_21-08-28|Bellevue_150th_Eastgate__2017-09-10_22-08-28|Bellevue_150th_Eastgate__2017-09-10_23-08-29|Bellevue_150th_Eastgate__2017-09-11_01-08-29|Bellevue_150th_Eastgate__2017-09-11_02-08-29|Bellevue_150th_Eastgate__2017-09-11_03-08-30|Bellevue_150th_Eastgate__2017-09-11_04-08-29|Bellevue_150th_Eastgate__2017-09-11_05-08-30|Bellevue_150th_Eastgate__2017-09-11_06-08-30|Bellevue_150th_Eastgate__2017-09-11_07-08-31|Bellevue_150th_Eastgate__2017-09-11_08-08-31,276,107625,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,A,G,bellevue_150th_eastgate:A>G,straight,885,10.4437101723,True,bellevue_150th_eastgate:100566|bellevue_150th_eastgate:103185|bellevue_150th_eastgate:10347|bellevue_150th_eastgate:106333|bellevue_150th_eastgate:106470,15,Bellevue_150th_Eastgate__2017-09-10_18-08-24|Bellevue_150th_Eastgate__2017-09-10_19-08-25|Bellevue_150th_Eastgate__2017-09-10_20-08-25|Bellevue_150th_Eastgate__2017-09-10_21-08-28|Bellevue_150th_Eastgate__2017-09-10_22-08-28|Bellevue_150th_Eastgate__2017-09-10_23-08-29|Bellevue_150th_Eastgate__2017-09-11_00-08-29|Bellevue_150th_Eastgate__2017-09-11_01-08-29|Bellevue_150th_Eastgate__2017-09-11_02-08-29|Bellevue_150th_Eastgate__2017-09-11_03-08-30|Bellevue_150th_Eastgate__2017-09-11_04-08-29|Bellevue_150th_Eastgate__2017-09-11_05-08-30|Bellevue_150th_Eastgate__2017-09-11_06-08-30|Bellevue_150th_Eastgate__2017-09-11_07-08-31|Bellevue_150th_Eastgate__2017-09-11_08-08-31,82,107822,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,A,H,bellevue_150th_eastgate:A>H,left,640,7.55251357092,True,bellevue_150th_eastgate:100541|bellevue_150th_eastgate:102190|bellevue_150th_eastgate:102398|bellevue_150th_eastgate:10333|bellevue_150th_eastgate:103934,15,Bellevue_150th_Eastgate__2017-09-10_18-08-24|Bellevue_150th_Eastgate__2017-09-10_19-08-25|Bellevue_150th_Eastgate__2017-09-10_20-08-25|Bellevue_150th_Eastgate__2017-09-10_21-08-28|Bellevue_150th_Eastgate__2017-09-10_22-08-28|Bellevue_150th_Eastgate__2017-09-10_23-08-29|Bellevue_150th_Eastgate__2017-09-11_00-08-29|Bellevue_150th_Eastgate__2017-09-11_01-08-29|Bellevue_150th_Eastgate__2017-09-11_02-08-29|Bellevue_150th_Eastgate__2017-09-11_03-08-30|Bellevue_150th_Eastgate__2017-09-11_04-08-29|Bellevue_150th_Eastgate__2017-09-11_05-08-30|Bellevue_150th_Eastgate__2017-09-11_06-08-30|Bellevue_150th_Eastgate__2017-09-11_07-08-31|Bellevue_150th_Eastgate__2017-09-11_08-08-31,0,107716,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,B,G,bellevue_150th_eastgate:B>G,right,0,0,False,,0,,,,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,B,H,bellevue_150th_eastgate:B>H,straight,1999,23.5898041067,True,bellevue_150th_eastgate:100131|bellevue_150th_eastgate:100606|bellevue_150th_eastgate:101465|bellevue_150th_eastgate:101549|bellevue_150th_eastgate:101801,15,Bellevue_150th_Eastgate__2017-09-10_18-08-24|Bellevue_150th_Eastgate__2017-09-10_19-08-25|Bellevue_150th_Eastgate__2017-09-10_20-08-25|Bellevue_150th_Eastgate__2017-09-10_21-08-28|Bellevue_150th_Eastgate__2017-09-10_22-08-28|Bellevue_150th_Eastgate__2017-09-10_23-08-29|Bellevue_150th_Eastgate__2017-09-11_00-08-29|Bellevue_150th_Eastgate__2017-09-11_01-08-29|Bellevue_150th_Eastgate__2017-09-11_02-08-29|Bellevue_150th_Eastgate__2017-09-11_03-08-30|Bellevue_150th_Eastgate__2017-09-11_04-08-29|Bellevue_150th_Eastgate__2017-09-11_05-08-30|Bellevue_150th_Eastgate__2017-09-11_06-08-30|Bellevue_150th_Eastgate__2017-09-11_07-08-31|Bellevue_150th_Eastgate__2017-09-11_08-08-31,0,107904,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,B,E,bellevue_150th_eastgate:B>E,left,114,1.34529147982,True,bellevue_150th_eastgate:102538|bellevue_150th_eastgate:116188|bellevue_150th_eastgate:116244|bellevue_150th_eastgate:124375|bellevue_150th_eastgate:129652,8,Bellevue_150th_Eastgate__2017-09-10_18-08-24|Bellevue_150th_Eastgate__2017-09-10_19-08-25|Bellevue_150th_Eastgate__2017-09-10_20-08-25|Bellevue_150th_Eastgate__2017-09-10_21-08-28|Bellevue_150th_Eastgate__2017-09-11_01-08-29|Bellevue_150th_Eastgate__2017-09-11_06-08-30|Bellevue_150th_Eastgate__2017-09-11_07-08-31|Bellevue_150th_Eastgate__2017-09-11_08-08-31,0,104777,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,C,H,bellevue_150th_eastgate:C>H,right,262,3.0918102431,True,bellevue_150th_eastgate:101798|bellevue_150th_eastgate:102093|bellevue_150th_eastgate:102159|bellevue_150th_eastgate:102173|bellevue_150th_eastgate:102254,14,Bellevue_150th_Eastgate__2017-09-10_18-08-24|Bellevue_150th_Eastgate__2017-09-10_19-08-25|Bellevue_150th_Eastgate__2017-09-10_20-08-25|Bellevue_150th_Eastgate__2017-09-10_21-08-28|Bellevue_150th_Eastgate__2017-09-10_22-08-28|Bellevue_150th_Eastgate__2017-09-10_23-08-29|Bellevue_150th_Eastgate__2017-09-11_01-08-29|Bellevue_150th_Eastgate__2017-09-11_02-08-29|Bellevue_150th_Eastgate__2017-09-11_03-08-30|Bellevue_150th_Eastgate__2017-09-11_04-08-29|Bellevue_150th_Eastgate__2017-09-11_05-08-30|Bellevue_150th_Eastgate__2017-09-11_06-08-30|Bellevue_150th_Eastgate__2017-09-11_07-08-31|Bellevue_150th_Eastgate__2017-09-11_08-08-31,0,106238,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,C,E,bellevue_150th_eastgate:C>E,straight,201,2.37196129337,True,bellevue_150th_eastgate:108542|bellevue_150th_eastgate:113700|bellevue_150th_eastgate:11468|bellevue_150th_eastgate:115168|bellevue_150th_eastgate:115400,15,Bellevue_150th_Eastgate__2017-09-10_18-08-24|Bellevue_150th_Eastgate__2017-09-10_19-08-25|Bellevue_150th_Eastgate__2017-09-10_20-08-25|Bellevue_150th_Eastgate__2017-09-10_21-08-28|Bellevue_150th_Eastgate__2017-09-10_22-08-28|Bellevue_150th_Eastgate__2017-09-10_23-08-29|Bellevue_150th_Eastgate__2017-09-11_00-08-29|Bellevue_150th_Eastgate__2017-09-11_01-08-29|Bellevue_150th_Eastgate__2017-09-11_02-08-29|Bellevue_150th_Eastgate__2017-09-11_03-08-30|Bellevue_150th_Eastgate__2017-09-11_04-08-29|Bellevue_150th_Eastgate__2017-09-11_05-08-30|Bellevue_150th_Eastgate__2017-09-11_06-08-30|Bellevue_150th_Eastgate__2017-09-11_07-08-31|Bellevue_150th_Eastgate__2017-09-11_08-08-31,2369,107042,future-transportation-polygon-reference-v1
bellevue_150th_eastgate,target_estimation,C,F,bellevue_150th_eastgate:C>F,left,0,0,False,,0,,,,future-transportation-polygon-reference-v1
