scene,method,trial_index,fit_random_seed,params_json,n_total,n_clusters,cluster_count_error,n_outliers,pct_outliers,largest_cluster_ratio,fit_time_s,hg_estimated_target,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG,error,untargeted_selection_key_json,hg_expected_selection_key_json,selected_untargeted,selected_hg_expected_aware,interval_lower,interval_upper,interval_distance,pcms_strategy_id,selected_pcms,pcms_selection_key_json
bellevue_116th_ne12th,kmeans,21,20260723,"{""max_iter"": 300, ""n_clusters"": 22, ""n_init"": 10}",634,22,12,0,0,0.138801261829653,0.0579140000045299,10,0.516010811354241,0.685252394321715,5363.40860865529,0.433897253087644,0.421258707175156,,"[-0.5160108113542411, 0.6852523943217154, -5363.408608655289, 0.138801261829653, ""{\""max_iter\"": 300, \""n_clusters\"": 22, \""n_init\"": 10}""]","[12.0, -0.5160108113542411, 0.6852523943217154, -5363.408608655289, 0.138801261829653, ""{\""max_iter\"": 300, \""n_clusters\"": 22, \""n_init\"": 10}""]",False,False,8,13,9,A5,False,
bellevue_116th_ne12th,kmeans,22,20260724,"{""max_iter"": 300, ""n_clusters"": 23, ""n_init"": 10}",634,23,13,0,0,0.134069400630915,0.0590322000207379,10,0.519546205648534,0.683319283917053,5340.55144786869,0.431559302710719,0.421976806630675,,"[-0.519546205648534, 0.6833192839170533, -5340.551447868692, 0.13406940063091483, ""{\""max_iter\"": 300, \""n_clusters\"": 23, \""n_init\"": 10}""]","[13.0, -0.519546205648534, 0.6833192839170533, -5340.551447868692, 0.13406940063091483, ""{\""max_iter\"": 300, \""n_clusters\"": 23, \""n_init\"": 10}""]",False,False,8,13,10,A5,False,
bellevue_116th_ne12th,kmeans,23,20260725,"{""max_iter"": 300, ""n_clusters"": 24, ""n_init"": 10}",634,24,14,0,0,0.134069400630915,0.0609486999455839,10,0.516754288005037,0.723325432344916,5347.54619827035,0.428111113675021,0.420458119679549,,"[-0.516754288005037, 0.7233254323449158, -5347.546198270347, 0.13406940063091483, ""{\""max_iter\"": 300, \""n_clusters\"": 24, \""n_init\"": 10}""]","[14.0, -0.516754288005037, 0.7233254323449158, -5347.546198270347, 0.13406940063091483, ""{\""max_iter\"": 300, \""n_clusters\"": 24, \""n_init\"": 10}""]",False,False,8,13,11,A5,False,
bellevue_116th_ne12th,kmeans,24,20260726,"{""max_iter"": 300, ""n_clusters"": 25, ""n_init"": 10}",634,25,15,0,0,0.134069400630915,0.0627227000659331,10,0.526964033541739,0.711273299971565,5424.40487163848,0.426534271385334,0.421377281156673,,"[-0.5269640335417388, 0.7112732999715652, -5424.404871638479, 0.13406940063091483, ""{\""max_iter\"": 300, \""n_clusters\"": 25, \""n_init\"": 10}""]","[15.0, -0.5269640335417388, 0.7112732999715652, -5424.404871638479, 0.13406940063091483, ""{\""max_iter\"": 300, \""n_clusters\"": 25, \""n_init\"": 10}""]",False,False,8,13,12,A5,False,
bellevue_116th_ne12th,kmeans,25,20260727,"{""max_iter"": 300, ""n_clusters"": 26, ""n_init"": 10}",634,26,16,0,0,0.129337539432177,0.0641920999623835,10,0.539919268602544,0.667467924844474,5534.56997047784,0.426400734946606,0.424033378053362,,"[-0.5399192686025444, 0.6674679248444739, -5534.56997047784, 0.12933753943217666, ""{\""max_iter\"": 300, \""n_clusters\"": 26, \""n_init\"": 10}""]","[16.0, -0.5399192686025444, 0.6674679248444739, -5534.56997047784, 0.12933753943217666, ""{\""max_iter\"": 300, \""n_clusters\"": 26, \""n_init\"": 10}""]",False,False,8,13,13,A5,False,
bellevue_116th_ne12th,kmeans,26,20260728,"{""max_iter"": 300, ""n_clusters"": 27, ""n_init"": 10}",634,27,17,0,0,0.141955835962145,0.0654028999852016,10,0.551042845597819,0.647946245964644,5408.54540811962,0.42425290971265,0.424038149630512,,"[-0.5510428455978192, 0.6479462459646439, -5408.545408119621, 0.14195583596214512, ""{\""max_iter\"": 300, \""n_clusters\"": 27, \""n_init\"": 10}""]","[17.0, -0.5510428455978192, 0.6479462459646439, -5408.545408119621, 0.14195583596214512, ""{\""max_iter\"": 300, \""n_clusters\"": 27, \""n_init\"": 10}""]",False,False,8,13,14,A5,False,
bellevue_116th_ne12th,kmeans,27,20260729,"{""max_iter"": 300, ""n_clusters"": 28, ""n_init"": 10}",634,28,18,0,0,0.126182965299685,0.0765575999394059,10,0.544565367143408,0.685413709433486,5626.73252184503,0.423223646936128,0.423942585202949,,"[-0.5445653671434075, 0.6854137094334858, -5626.732521845029, 0.12618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 28, \""n_init\"": 10}""]","[18.0, -0.5445653671434075, 0.6854137094334858, -5626.732521845029, 0.12618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 28, \""n_init\"": 10}""]",False,False,8,13,15,A5,False,
bellevue_116th_ne12th,kmeans,28,20260730,"{""max_iter"": 300, ""n_clusters"": 29, ""n_init"": 10}",634,29,19,0,0,0.129337539432177,0.0654134999494999,10,0.528900512968331,0.682909469594216,5456.4192995453,0.420721723101052,0.422932174496905,,"[-0.528900512968331, 0.6829094695942155, -5456.419299545299, 0.12933753943217666, ""{\""max_iter\"": 300, \""n_clusters\"": 29, \""n_init\"": 10}""]","[19.0, -0.528900512968331, 0.6829094695942155, -5456.419299545299, 0.12933753943217666, ""{\""max_iter\"": 300, \""n_clusters\"": 29, \""n_init\"": 10}""]",False,False,8,13,16,A5,False,
bellevue_116th_ne12th,kmeans,29,20260731,"{""max_iter"": 300, ""n_clusters"": 30, ""n_init"": 10}",634,30,20,0,0,0.129337539432177,0.0687048000982031,10,0.506895535658942,0.717769790512364,5572.34619895278,0.417709008241371,0.42062604126206,,"[-0.5068955356589422, 0.7177697905123644, -5572.346198952783, 0.12933753943217666, ""{\""max_iter\"": 300, \""n_clusters\"": 30, \""n_init\"": 10}""]","[20.0, -0.5068955356589422, 0.7177697905123644, -5572.346198952783, 0.12933753943217666, ""{\""max_iter\"": 300, \""n_clusters\"": 30, \""n_init\"": 10}""]",False,False,8,13,17,A5,False,
bellevue_116th_ne12th,hdbscan,1,20260703,"{""min_cluster_size"": 80, ""min_samples"": 10}",634,4,6,4,0.630914826498423,0.417460317460317,0.012656099977903,10,0.714349764580777,0.420124507023133,1423.69821829347,0.456489235918519,0.613125987864171,,"[-0.7143497645807769, 0.42012450702313275, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]","[6.0, 0.6309148264984227, -0.7143497645807769, 0.42012450702313275, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]",True,True,8,13,4,A5,True,"[4, 0.6309148264984227, -0.7143497645807769, 0.4201245070231327, -1423.6982182934707, 0.4174603174603175, ""{\""min_cluster_size\"": 80, \""min_samples\"": 10}""]"
