scene,role,micro_region,n_support,n_finite_bearings,n_finite_headings,centroid_x_topview,centroid_y_topview,role_center_x_topview,role_center_y_topview,bearing,heading,bearing_circular_mad,heading_circular_mad,bearing_radius,heading_radius,self_consistency_quantile,bootstrap_replicates,bootstrap_seed,invalid_bearing_descriptor,invalid_heading_descriptor,zero_support_region,variant_id
bellevue_116th_ne12th,entry,0,325,325,325,1098.57910341021,355.982989210099,957.138674029365,358.948026171591,-0.0209600802036196,-0.198811491344781,0.0361402632532388,0.149214252445877,0.226663227768626,1.63384726655841,0.95,500,1420300885,False,False,False,sensitivity_heading_w3
bellevue_116th_ne12th,entry,1,226,226,226,691.603045515111,451.892365661022,957.138674029365,358.948026171591,2.80489478727371,2.71176837142357,0.0283354172254038,0.308794084995955,0.125624296158692,2.19129826441196,0.95,500,2061809336,False,False,False,sensitivity_heading_w3
bellevue_116th_ne12th,entry,2,91,91,91,892.445637326474,225.668752738448,957.138674029365,358.948026171591,-2.02269147640987,-2.20555099849337,0.0883190574079871,0.141367287278366,0.477957126894581,1.70652012302855,0.95,500,1138608299,False,False,False,sensitivity_heading_w3
bellevue_116th_ne12th,entry,3,81,81,81,956.720274298413,609.407593091865,957.138674029365,358.948026171591,1.57246685328703,0.796159712412425,0.00734214408138367,0.307780647676303,0.112451172905308,2.0998871884602,0.95,500,1088857149,False,False,False,sensitivity_heading_w3
bellevue_116th_ne12th,exit,0,223,223,223,1108.20870778447,397.010882953129,931.06620031253,400.0710631337,-0.0172735265975881,2.66614623126731,0.0286944586138413,0.155045948560316,0.0861078632179643,1.4403552431409,0.95,500,1414617986,False,False,False,sensitivity_heading_w3
bellevue_116th_ne12th,exit,1,282,282,282,686.891508138712,401.181228173192,931.06620031253,400.0710631337,3.13704608334502,-1.06143630919784,0.0994876770788591,0.315708725421121,0.283974473080554,2.0263982699238,0.95,500,261846655,False,False,False,sensitivity_heading_w3
bellevue_116th_ne12th,exit,2,104,104,104,943.646134267774,258.363712426312,931.06620031253,400.0710631337,-1.4822543950891,0.890872272121012,0.057110906049139,0.165466923455975,0.251899263824349,1.38003766165713,0.95,500,1502572934,False,False,False,sensitivity_heading_w3
bellevue_116th_ne12th,exit,3,114,114,114,923.544731006871,690.613046548275,931.06620031253,400.0710631337,1.59667826530687,-2.63040841370627,0.0490034362451128,0.28763844780354,0.303897166868636,2.57519230359129,0.95,500,1959908453,False,False,False,sensitivity_heading_w3
bellevue_116th_ne12th,entry,0,325,325,325,1098.57910341021,355.982989210099,957.138674029365,358.948026171591,-0.0209600802036196,-0.227076147707191,0.0361402632532388,0.0951355445065314,0.226663227768626,1.07934837010958,0.95,500,1420300885,False,False,False,sensitivity_heading_w7
bellevue_116th_ne12th,entry,1,226,226,226,691.603045515111,451.892365661022,957.138674029365,358.948026171591,2.80489478727371,2.75681806260806,0.0283354172254038,0.173542736908351,0.125624296158692,1.94575405869711,0.95,500,2061809336,False,False,False,sensitivity_heading_w7
