scene,variant_id,entry_supernode,exit_supernode,od_pair,count,share,supported_at_selected_threshold
bellevue_150th_eastgate,A9,entry:S01,exit:S03,entry:S01>exit:S03,871,0.0998853211009174,True
bellevue_150th_eastgate,A9,entry:S02,exit:S00,entry:S02>exit:S00,2176,0.24954128440367,True
bellevue_150th_eastgate,A9,entry:S02,exit:S01,entry:S02>exit:S01,15,0.00172018348623853,False
bellevue_150th_eastgate,A9,entry:S02,exit:S02,entry:S02>exit:S02,28,0.00321100917431193,False
bellevue_150th_eastgate,A9,entry:S02,exit:S03,entry:S02>exit:S03,983,0.112729357798165,True
bellevue_150th_eastgate,A9,entry:S03,exit:S01,entry:S03>exit:S01,254,0.0291284403669725,True
bellevue_150th_eastgate,A9,entry:S03,exit:S02,entry:S03>exit:S02,344,0.0394495412844037,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S00,exit:S01,entry:S00>exit:S01,158,0.0181192660550459,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S00,exit:S02,entry:S00>exit:S02,2012,0.230733944954128,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S01,exit:S00,entry:S01>exit:S00,1245,0.142775229357798,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S01,exit:S01,entry:S01>exit:S01,7,0.000802752293577982,False
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S01,exit:S02,entry:S01>exit:S02,627,0.0719036697247706,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S01,exit:S03,entry:S01>exit:S03,871,0.0998853211009174,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S02,exit:S00,entry:S02>exit:S00,2176,0.24954128440367,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S02,exit:S01,entry:S02>exit:S01,15,0.00172018348623853,False
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S02,exit:S02,entry:S02>exit:S02,28,0.00321100917431193,False
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S02,exit:S03,entry:S02>exit:S03,983,0.112729357798165,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S03,exit:S01,entry:S03>exit:S01,254,0.0291284403669725,True
bellevue_150th_eastgate,sensitivity_heading_w3,entry:S03,exit:S02,entry:S03>exit:S02,344,0.0394495412844037,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S00,exit:S01,entry:S00>exit:S01,158,0.0181192660550459,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S00,exit:S02,entry:S00>exit:S02,2012,0.230733944954128,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S01,exit:S00,entry:S01>exit:S00,1245,0.142775229357798,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S01,exit:S01,entry:S01>exit:S01,7,0.000802752293577982,False
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S01,exit:S02,entry:S01>exit:S02,627,0.0719036697247706,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S01,exit:S03,entry:S01>exit:S03,871,0.0998853211009174,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S02,exit:S00,entry:S02>exit:S00,2176,0.24954128440367,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S02,exit:S01,entry:S02>exit:S01,15,0.00172018348623853,False
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S02,exit:S02,entry:S02>exit:S02,28,0.00321100917431193,False
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S02,exit:S03,entry:S02>exit:S03,983,0.112729357798165,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S03,exit:S01,entry:S03>exit:S01,254,0.0291284403669725,True
bellevue_150th_eastgate,sensitivity_heading_w7,entry:S03,exit:S02,entry:S03>exit:S02,344,0.0394495412844037,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S00,exit:S01,entry:S00>exit:S01,158,0.0181192660550459,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S00,exit:S02,entry:S00>exit:S02,2012,0.230733944954128,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S01,exit:S00,entry:S01>exit:S00,1245,0.142775229357798,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S01,exit:S01,entry:S01>exit:S01,7,0.000802752293577982,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S01,exit:S02,entry:S01>exit:S02,627,0.0719036697247706,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S01,exit:S03,entry:S01>exit:S03,871,0.0998853211009174,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S02,exit:S00,entry:S02>exit:S00,2176,0.24954128440367,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S02,exit:S01,entry:S02>exit:S01,15,0.00172018348623853,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S02,exit:S02,entry:S02>exit:S02,28,0.00321100917431193,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S02,exit:S03,entry:S02>exit:S03,983,0.112729357798165,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S03,exit:S01,entry:S03>exit:S01,254,0.0291284403669725,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry:S03,exit:S02,entry:S03>exit:S02,344,0.0394495412844037,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S00,exit:S01,entry:S00>exit:S01,158,0.0181192660550459,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S00,exit:S02,entry:S00>exit:S02,2012,0.230733944954128,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S01,exit:S00,entry:S01>exit:S00,1245,0.142775229357798,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S01,exit:S01,entry:S01>exit:S01,7,0.000802752293577982,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S01,exit:S02,entry:S01>exit:S02,627,0.0719036697247706,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S01,exit:S03,entry:S01>exit:S03,871,0.0998853211009174,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S02,exit:S00,entry:S02>exit:S00,2176,0.24954128440367,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S02,exit:S01,entry:S02>exit:S01,15,0.00172018348623853,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S02,exit:S02,entry:S02>exit:S02,28,0.00321100917431193,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S02,exit:S03,entry:S02>exit:S03,983,0.112729357798165,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S03,exit:S01,entry:S03>exit:S01,254,0.0291284403669725,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry:S03,exit:S02,entry:S03>exit:S02,344,0.0394495412844037,True
bellevue_150th_se38th,A5,entry:S00,exit:S00,entry:S00>exit:S00,161,0.064867042707494,True
bellevue_150th_se38th,A5,entry:S00,exit:S01,entry:S00>exit:S01,617,0.248589846897663,True
bellevue_150th_se38th,A5,entry:S01,exit:S00,entry:S01>exit:S00,61,0.024576954069299,True
bellevue_150th_se38th,A5,entry:S01,exit:S01,entry:S01>exit:S01,308,0.124093473005641,True
bellevue_150th_se38th,A5,entry:S02,exit:S00,entry:S02>exit:S00,173,0.0697018533440774,True
