scene,variant_id,role,supernode_id,member_micro_regions,n_micro_regions,n_support,bearing,heading,contains_invalid_descriptor
bellevue_150th_newport,sensitivity_heading_w7,exit,exit:S02,3,1,149,-0.544599902388466,-1.37716649751857,False
bellevue_150th_newport,sensitivity_heading_w7,exit,exit:S03,2,1,1116,1.60856607850344,1.69345907022555,False
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,entry:S00,0,1,1198,-1.59534332541616,1.99971578152765,False
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,entry:S01,3,1,127,0.305424570070566,2.57895591172517,False
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,entry:S02,1,1,591,1.30892741170547,-1.83895342420193,False
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,entry:S03,2,1,507,2.03341899950301,-0.267730866471203,False
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,exit:S00,0,1,421,-3.11835260402302,2.4759068807407,False
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,exit:S01,1,1,737,-1.3714270119681,-2.56242705973113,False
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,exit:S02,3,1,149,-0.544599902388466,-1.42471143079452,False
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,exit:S03,2,1,1116,1.60856607850344,1.67579501222331,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,entry:S00,0,1,1198,-1.59534332541616,1.99971578152765,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,entry:S01,3,1,127,0.305424570070566,2.57895591172517,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,entry:S02,1;2,2,1098,1.30892741170547,-1.83895342420193,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,exit:S00,0,1,421,-3.11835260402302,2.4759068807407,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,exit:S01,1,1,737,-1.3714270119681,-2.56242705973113,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,exit:S02,3,1,149,-0.544599902388466,-1.42471143079452,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,exit:S03,2,1,1116,1.60856607850344,1.67579501222331,False
bellevue_150th_eastgate,A5,entry,entry:S00,1,1,2170,-2.63754347725791,2.55994480625311,False
bellevue_150th_eastgate,A5,entry,entry:S01,2,1,2750,-0.133914685463751,-2.3732881932595,False
bellevue_150th_eastgate,A5,entry,entry:S02,0,1,3202,1.56955973900181,-0.821413290981334,False
bellevue_150th_eastgate,A5,entry,entry:S03,3,1,598,2.79944950968421,0.498352009057768,False
bellevue_150th_eastgate,A5,exit,exit:S00,2,1,3421,-1.58877012042934,-1.44112585084454,False
bellevue_150th_eastgate,A5,exit,exit:S01,3,1,434,0.0193790042359581,0.904034111584004,False
bellevue_150th_eastgate,A5,exit,exit:S02,0,1,3011,1.0737763339524,2.06403083132268,False
bellevue_150th_eastgate,A5,exit,exit:S03,1,1,1854,3.11867412852411,-3.1362699853088,False
bellevue_150th_eastgate,A6,entry,entry:S00,1,1,2170,-2.63754347725791,2.55994480625311,False
bellevue_150th_eastgate,A6,entry,entry:S01,2,1,2750,-0.133914685463751,-2.3732881932595,False
bellevue_150th_eastgate,A6,entry,entry:S02,0,1,3202,1.56955973900181,-0.821413290981334,False
bellevue_150th_eastgate,A6,entry,entry:S03,3,1,598,2.79944950968421,0.498352009057768,False
bellevue_150th_eastgate,A6,exit,exit:S00,2,1,3421,-1.58877012042934,-1.44112585084454,False
bellevue_150th_eastgate,A6,exit,exit:S01,3,1,434,0.0193790042359581,0.904034111584004,False
bellevue_150th_eastgate,A6,exit,exit:S02,0,1,3011,1.0737763339524,2.06403083132268,False
bellevue_150th_eastgate,A6,exit,exit:S03,1,1,1854,3.11867412852411,-3.1362699853088,False
bellevue_150th_eastgate,A7,entry,entry:S00,1;2,2,4920,-2.63754347725791,-2.3732881932595,False
bellevue_150th_eastgate,A7,entry,entry:S01,0;3,2,3800,1.56955973900181,-0.821413290981334,False
bellevue_150th_eastgate,A7,exit,exit:S00,1;2,2,5275,-1.58877012042934,-3.1362699853088,False
bellevue_150th_eastgate,A7,exit,exit:S01,0;3,2,3445,0.0193790042359581,0.904034111584004,False
bellevue_150th_eastgate,A9,entry,entry:S00,1,1,2170,-2.63754347725791,1.16548347741281,False
bellevue_150th_eastgate,A9,entry,entry:S01,2,1,2750,-0.133914685463751,-2.78297530578562,False
