scene,variant_id,role,micro_region,supernode_id
bellevue_ne8th,A6,exit,2,exit:S03
bellevue_ne8th,A6,exit,3,exit:S00
bellevue_ne8th,A7,entry,0,entry:S00
bellevue_ne8th,A7,entry,1,entry:S00
bellevue_ne8th,A7,entry,2,entry:S00
bellevue_ne8th,A7,entry,3,entry:S00
bellevue_ne8th,A7,exit,0,exit:S01
bellevue_ne8th,A7,exit,1,exit:S01
bellevue_ne8th,A7,exit,2,exit:S02
bellevue_ne8th,A7,exit,3,exit:S00
bellevue_ne8th,A9,entry,0,entry:S03
bellevue_ne8th,A9,entry,1,entry:S01
bellevue_ne8th,A9,entry,2,entry:S00
bellevue_ne8th,A9,entry,3,entry:S02
bellevue_ne8th,A9,exit,0,exit:S01
bellevue_ne8th,A9,exit,1,exit:S02
bellevue_ne8th,A9,exit,2,exit:S03
bellevue_ne8th,A9,exit,3,exit:S00
bellevue_ne8th,sensitivity_heading_w3,entry,0,entry:S03
bellevue_ne8th,sensitivity_heading_w3,entry,1,entry:S01
bellevue_ne8th,sensitivity_heading_w3,entry,2,entry:S00
bellevue_ne8th,sensitivity_heading_w3,entry,3,entry:S02
bellevue_ne8th,sensitivity_heading_w3,exit,0,exit:S01
bellevue_ne8th,sensitivity_heading_w3,exit,1,exit:S02
bellevue_ne8th,sensitivity_heading_w3,exit,2,exit:S03
bellevue_ne8th,sensitivity_heading_w3,exit,3,exit:S00
bellevue_ne8th,sensitivity_heading_w7,entry,0,entry:S03
bellevue_ne8th,sensitivity_heading_w7,entry,1,entry:S01
bellevue_ne8th,sensitivity_heading_w7,entry,2,entry:S00
bellevue_ne8th,sensitivity_heading_w7,entry,3,entry:S02
bellevue_ne8th,sensitivity_heading_w7,exit,0,exit:S01
bellevue_ne8th,sensitivity_heading_w7,exit,1,exit:S02
bellevue_ne8th,sensitivity_heading_w7,exit,2,exit:S03
bellevue_ne8th,sensitivity_heading_w7,exit,3,exit:S00
bellevue_ne8th,sensitivity_self_consistency_q090,entry,0,entry:S03
bellevue_ne8th,sensitivity_self_consistency_q090,entry,1,entry:S01
bellevue_ne8th,sensitivity_self_consistency_q090,entry,2,entry:S00
bellevue_ne8th,sensitivity_self_consistency_q090,entry,3,entry:S02
bellevue_ne8th,sensitivity_self_consistency_q090,exit,0,exit:S01
bellevue_ne8th,sensitivity_self_consistency_q090,exit,1,exit:S02
bellevue_ne8th,sensitivity_self_consistency_q090,exit,2,exit:S03
bellevue_ne8th,sensitivity_self_consistency_q090,exit,3,exit:S00
bellevue_ne8th,sensitivity_self_consistency_q0975,entry,0,entry:S03
bellevue_ne8th,sensitivity_self_consistency_q0975,entry,1,entry:S01
bellevue_ne8th,sensitivity_self_consistency_q0975,entry,2,entry:S00
bellevue_ne8th,sensitivity_self_consistency_q0975,entry,3,entry:S02
bellevue_ne8th,sensitivity_self_consistency_q0975,exit,0,exit:S01
bellevue_ne8th,sensitivity_self_consistency_q0975,exit,1,exit:S02
bellevue_ne8th,sensitivity_self_consistency_q0975,exit,2,exit:S03
bellevue_ne8th,sensitivity_self_consistency_q0975,exit,3,exit:S00
