scene,variant_id,replicate,bootstrap_seed,emd_seed,sampled_trajectory_count,sampled_recording_count,emd_entry_regions,emd_exit_regions,entry_supernodes,exit_supernodes,support_threshold,smg_target,coverage,invalid_replicate,failure_reason
bellevue_116th_ne12th,A6,18,706615373,1003388341,720,3,8,4,7,4,0.005,11,0.995833333333333,False,
bellevue_116th_ne12th,A7,18,706615373,1003388341,720,3,8,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,18,706615373,1003388341,720,3,8,4,7,4,0.005,11,0.995833333333333,False,
bellevue_116th_ne12th,A5,19,1881393140,1482225480,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,19,1881393140,1482225480,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,19,1881393140,1482225480,688,4,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,19,1881393140,1482225480,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,20,1410630421,61371783,669,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,20,1410630421,61371783,669,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,20,1410630421,61371783,669,4,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,20,1410630421,61371783,669,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,21,218874557,1671198885,903,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,21,218874557,1671198885,903,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,21,218874557,1671198885,903,3,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,21,218874557,1671198885,903,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,22,210573768,1861193668,879,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,22,210573768,1861193668,879,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,22,210573768,1861193668,879,3,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,22,210573768,1861193668,879,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,23,2134066598,1949362649,989,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,23,2134066598,1949362649,989,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,23,2134066598,1949362649,989,4,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,23,2134066598,1949362649,989,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,24,1265696581,2066149382,390,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,24,1265696581,2066149382,390,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,24,1265696581,2066149382,390,4,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,24,1265696581,2066149382,390,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,25,1571677271,1828828509,250,3,4,4,4,4,0.0025,9,1,False,
bellevue_116th_ne12th,A6,25,1571677271,1828828509,250,3,4,4,4,4,0.0025,9,1,False,
bellevue_116th_ne12th,A7,25,1571677271,1828828509,250,3,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,25,1571677271,1828828509,250,3,4,4,4,4,0.0025,9,1,False,
bellevue_116th_ne12th,A5,26,1285085221,891095467,844,4,4,4,4,4,0.005,8,0.992890995260663,False,
bellevue_116th_ne12th,A6,26,1285085221,891095467,844,4,4,4,4,4,0.005,8,0.992890995260663,False,
bellevue_116th_ne12th,A7,26,1285085221,891095467,844,4,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,26,1285085221,891095467,844,4,4,4,4,4,0.005,8,0.992890995260663,False,
bellevue_116th_ne12th,A5,27,638541336,1188812003,1177,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,27,638541336,1188812003,1177,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,27,638541336,1188812003,1177,3,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,27,638541336,1188812003,1177,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,28,1295248682,332050652,723,5,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,28,1295248682,332050652,723,5,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,28,1295248682,332050652,723,5,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,28,1295248682,332050652,723,5,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,29,1943867520,916865311,457,4,8,4,7,4,0.005,11,0.991247264770241,False,
bellevue_116th_ne12th,A6,29,1943867520,916865311,457,4,8,4,7,4,0.005,11,0.991247264770241,False,
bellevue_116th_ne12th,A7,29,1943867520,916865311,457,4,8,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,29,1943867520,916865311,457,4,8,4,7,4,0.005,11,0.991247264770241,False,
bellevue_116th_ne12th,A5,30,1501065778,2019709167,492,3,4,4,4,4,0.005,8,0.997967479674797,False,
bellevue_116th_ne12th,A6,30,1501065778,2019709167,492,3,4,4,4,4,0.005,8,0.997967479674797,False,
bellevue_116th_ne12th,A7,30,1501065778,2019709167,492,3,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,30,1501065778,2019709167,492,3,4,4,4,4,0.005,8,0.997967479674797,False,
bellevue_116th_ne12th,A5,31,85197652,378587470,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,31,85197652,378587470,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,31,85197652,378587470,755,4,4,4,1,1,0.005,1,1,False,
bellevue_116th_ne12th,A9,31,85197652,378587470,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,32,1098935299,372131607,422,4,8,4,5,4,0.02,7,0.964454976303318,False,
bellevue_116th_ne12th,A6,32,1098935299,372131607,422,4,8,4,5,4,0.02,7,0.964454976303318,False,
bellevue_116th_ne12th,A7,32,1098935299,372131607,422,4,8,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,32,1098935299,372131607,422,4,8,4,5,4,0.02,7,0.964454976303318,False,
bellevue_116th_ne12th,A5,33,172698749,1247552483,301,3,7,4,5,4,0.001,13,1,False,
