scene,variant_id,support_threshold,support_threshold_percent,support_threshold_absolute_count,n_entry_regions,n_exit_regions,smg_target,od_coverage,smallest_valid_od_pair_share,n_trajectories,target_local_instability,selected
bellevue_150th_se38th,sensitivity_self_consistency_q0975,0.001,0.1,3,4,2,8,1,0.00443190975020145,2482,0,True
bellevue_150th_se38th,sensitivity_self_consistency_q0975,0.0025,0.25,7,4,2,8,1,0.00443190975020145,2482,0.5,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,0.005,0.5,13,4,2,7,0.995568090249799,0.0479452054794521,2482,0.5,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,0.01,1,25,4,2,7,0.995568090249799,0.0479452054794521,2482,0,False
bellevue_150th_se38th,sensitivity_self_consistency_q0975,0.02,2,50,4,2,7,0.995568090249799,0.0479452054794521,2482,0,False
bellevue_ne8th,A5,0.001,0.1,6,4,4,10,0.999820659971306,0.00233142037302726,5576,1,False
bellevue_ne8th,A5,0.0025,0.25,14,4,4,9,0.997489239598278,0.0116571018651363,5576,0.5,False
bellevue_ne8th,A5,0.005,0.5,28,4,4,9,0.997489239598278,0.0116571018651363,5576,0,True
bellevue_ne8th,A5,0.01,1,56,4,4,9,0.997489239598278,0.0116571018651363,5576,1,False
bellevue_ne8th,A5,0.02,2,112,4,4,7,0.972560975609756,0.0464490674318508,5576,2,False
bellevue_ne8th,A6,0.001,0.1,6,4,4,10,0.999820659971306,0.00233142037302726,5576,1,False
bellevue_ne8th,A6,0.0025,0.25,14,4,4,9,0.997489239598278,0.0116571018651363,5576,0.5,False
bellevue_ne8th,A6,0.005,0.5,28,4,4,9,0.997489239598278,0.0116571018651363,5576,0,True
bellevue_ne8th,A6,0.01,1,56,4,4,9,0.997489239598278,0.0116571018651363,5576,1,False
bellevue_ne8th,A6,0.02,2,112,4,4,7,0.972560975609756,0.0464490674318508,5576,2,False
bellevue_ne8th,A7,0.001,0.1,6,1,3,3,1,0.184361549497848,5576,0,False
bellevue_ne8th,A7,0.0025,0.25,14,1,3,3,1,0.184361549497848,5576,0,False
bellevue_ne8th,A7,0.005,0.5,28,1,3,3,1,0.184361549497848,5576,0,True
bellevue_ne8th,A7,0.01,1,56,1,3,3,1,0.184361549497848,5576,0,False
bellevue_ne8th,A7,0.02,2,112,1,3,3,1,0.184361549497848,5576,0,False
bellevue_ne8th,A9,0.001,0.1,6,4,4,10,0.999820659971306,0.00233142037302726,5576,1,False
bellevue_ne8th,A9,0.0025,0.25,14,4,4,9,0.997489239598278,0.0116571018651363,5576,0.5,False
bellevue_ne8th,A9,0.005,0.5,28,4,4,9,0.997489239598278,0.0116571018651363,5576,0,True
bellevue_ne8th,A9,0.01,1,56,4,4,9,0.997489239598278,0.0116571018651363,5576,1,False
