scene,variant_id,role,left_micro_region,right_micro_region,bearing_separation,heading_separation,combined_bearing_radius,combined_heading_radius,bearing_ratio,heading_ratio,primary_distance,compatible,od_profile_js_distance_diagnostic
bellevue_150th_newport,A7,exit,1,2,2.97999309047154,2.04496323522515,0.276861326848943,2.56646665871764,10.7634862708631,0.79680101367338,0.79680101367338,True,0.868215483843449
bellevue_150th_newport,A7,exit,1,3,0.826827109579636,1.1377156289366,0.163788347005705,3.98404661706466,5.04814368479363,0.285567850552623,0.285567850552623,True,0.547582102657121
bellevue_150th_newport,A7,exit,2,3,2.15316598089191,3.10050644301784,0.237875299400328,1.84543113369957,9.05165852158644,1.6800986969382,1.6800986969382,False,0.811305554259778
bellevue_150th_newport,A9,entry,0,1,2.90427073712163,2.74847300766595,0.830595124340748,4.4097943393542,3.49661423720345,0.623265575706747,3.49661423720345,False,0.922496623170868
bellevue_150th_newport,A9,entry,0,2,2.65442298226042,1.93679991094243,1.61582396703124,5.34619648463137,1.64276742790082,0.362276230682901,1.64276742790082,False,0.68047596714766
bellevue_150th_newport,A9,entry,0,3,1.90076789548672,0.855500890982486,0.852601548572301,5.93213688037923,2.22937420025755,0.14421462421275,2.22937420025755,False,0.608178292231664
bellevue_150th_newport,A9,entry,1,2,0.724491587797539,0.811673096723521,1.23470706159613,3.94849696772301,0.586772045233933,0.205565080423904,0.586772045233933,True,0.516605795154474
bellevue_150th_newport,A9,entry,1,3,1.00350284163491,2.67921140853115,0.471484643137187,4.53443736347087,2.12838924075608,0.590858621207276,2.12838924075608,False,0.926552592133847
bellevue_150th_newport,A9,entry,2,3,1.72799442943245,2.79230080192492,1.25671348582768,5.47083950874804,1.37501065192627,0.510397133284561,1.37501065192627,False,0.876487653898677
bellevue_150th_newport,A9,exit,0,1,1.74692559205492,2.93364492995082,0.211862162716568,4.70749984116049,8.24557613145854,0.623185348685559,8.24557613145854,False,0.906254816675629
bellevue_150th_newport,A9,exit,0,2,1.55626662465313,0.159390685068117,0.285949115111191,2.26794752863586,5.44246001267734,0.0702797057937177,5.44246001267734,False,0.39842940657623
bellevue_150th_newport,A9,exit,0,3,2.57375270163455,2.40412858543656,0.172876135267953,4.16414367409473,14.8878426605576,0.577340450665216,14.8878426605576,False,0.923566849363901
bellevue_150th_newport,A9,exit,1,2,2.97999309047154,3.09303561501893,0.276861326848943,3.03528919796519,10.7634862708631,1.01902501319889,10.7634862708631,False,0.868215483843449
bellevue_150th_newport,A9,exit,1,3,0.826827109579636,0.94541179179221,0.163788347005705,4.93148534342406,5.04814368479363,0.191709338253003,5.04814368479363,False,0.547582102657121
bellevue_150th_newport,A9,exit,2,3,2.15316598089191,2.24473790036844,0.237875299400328,2.49193303089942,9.05165852158644,0.900801856444048,9.05165852158644,False,0.811305554259778
bellevue_150th_newport,sensitivity_heading_w3,entry,0,1,2.90427073712163,2.47660121581757,0.830595124340748,3.96469668756002,3.49661423720345,0.624663476423903,3.49661423720345,False,0.922496623170868
bellevue_150th_newport,sensitivity_heading_w3,entry,0,2,2.65442298226042,2.18739802188147,1.61582396703124,5.53929547032187,1.64276742790082,0.394887406458274,1.64276742790082,False,0.68047596714766
bellevue_150th_newport,sensitivity_heading_w3,entry,0,3,1.90076789548672,0.559914701365456,0.852601548572301,5.55398918569094,2.22937420025755,0.100813070145689,2.22937420025755,False,0.608178292231664
bellevue_150th_newport,sensitivity_heading_w3,entry,1,2,0.724491587797539,1.61918606948054,1.23470706159613,4.16485084529062,0.586772045233933,0.38877408330515,0.586772045233933,True,0.516605795154474
bellevue_150th_newport,sensitivity_heading_w3,entry,1,3,1.00350284163491,1.91668651445212,0.471484643137187,4.17954456065969,2.12838924075608,0.458587409856349,2.12838924075608,False,0.926552592133847
bellevue_150th_newport,sensitivity_heading_w3,entry,2,3,1.72799442943245,2.74731272324693,1.25671348582768,5.75414334342154,1.37501065192627,0.477449475843839,1.37501065192627,False,0.876487653898677
bellevue_150th_newport,sensitivity_heading_w3,exit,0,1,1.74692559205492,1.24659126062173,0.211862162716568,4.83945614138336,8.24557613145854,0.257589122455689,8.24557613145854,False,0.906254816675629
bellevue_150th_newport,sensitivity_heading_w3,exit,0,2,1.55626662465313,0.811639766344183,0.285949115111191,2.59021998452692,5.44246001267734,0.313347812615392,5.44246001267734,False,0.39842940657623
bellevue_150th_newport,sensitivity_heading_w3,exit,0,3,2.57375270163455,2.38294063456684,0.172876135267953,4.08003234306323,14.8878426605576,0.58404944721045,14.8878426605576,False,0.923566849363901
bellevue_150th_newport,sensitivity_heading_w3,exit,1,2,2.97999309047154,2.05823102696592,0.276861326848943,2.81619712374472,10.7634862708631,0.730854743658382,10.7634862708631,False,0.868215483843449
bellevue_150th_newport,sensitivity_heading_w3,exit,1,3,0.826827109579636,1.1363493739451,0.163788347005705,4.30600948228103,5.04814368479363,0.263898483879591,5.04814368479363,False,0.547582102657121
bellevue_150th_newport,sensitivity_heading_w3,exit,2,3,2.15316598089191,3.08860490626856,0.237875299400328,2.05677332542459,9.05165852158644,1.50167491385127,9.05165852158644,False,0.811305554259778
bellevue_150th_newport,sensitivity_heading_w7,entry,0,1,2.90427073712163,2.39965950144633,0.830595124340748,3.01461581918908,3.49661423720345,0.796008395554639,3.49661423720345,False,0.922496623170868
bellevue_150th_newport,sensitivity_heading_w7,entry,0,2,2.65442298226042,2.28636364980574,1.61582396703124,4.86282498975249,1.64276742790082,0.470171896916675,1.64276742790082,False,0.68047596714766
bellevue_150th_newport,sensitivity_heading_w7,entry,0,3,1.90076789548672,0.525498474110892,0.852601548572301,5.03787516062861,2.22937420025755,0.104309546655245,2.22937420025755,False,0.608178292231664
bellevue_150th_newport,sensitivity_heading_w7,entry,1,2,0.724491587797539,1.59716215592751,1.23470706159613,3.48270440031471,0.586772045233933,0.458598253639666,0.586772045233933,True,0.516605795154474
bellevue_150th_newport,sensitivity_heading_w7,entry,1,3,1.00350284163491,1.87416102733544,0.471484643137187,3.65775457119083,2.12838924075608,0.51238020235056,2.12838924075608,False,0.926552592133847
