scene,method,candidate_id,trial_index,params_json,original_score,original_rank,minimum_score,maximum_score,mean_score,std_score,score_range
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_020,20,"{""max_iter"": 300, ""n_clusters"": 21, ""n_init"": 10}",0.43259986487698676,17,0.13193915608578002,0.9657155696564964,0.6138190904115878,0.15016069892374845,0.8337764135707164
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_021,21,"{""max_iter"": 300, ""n_clusters"": 22, ""n_init"": 10}",0.42386493907033584,29,0.12751549568224813,0.964145339766622,0.5983898967840025,0.14694540220569544,0.8366298440843738
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_022,22,"{""max_iter"": 300, ""n_clusters"": 23, ""n_init"": 10}",0.4290285577036675,18,0.1293307813843437,0.9646205917225399,0.6074369384327882,0.14909217302789696,0.8352898103381962
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_023,23,"{""max_iter"": 300, ""n_clusters"": 24, ""n_init"": 10}",0.42822485592763804,22,0.1276076604132147,0.9641311293794589,0.6059232152729921,0.14918271204694955,0.8365234689662442
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_024,24,"{""max_iter"": 300, ""n_clusters"": 25, ""n_init"": 10}",0.42793207559862606,25,0.1277140184652769,0.9641090472665442,0.6054217725231416,0.1490039984700714,0.8363950288012674
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_025,25,"{""max_iter"": 300, ""n_clusters"": 26, ""n_init"": 10}",0.4253889577876415,28,0.12634134144844764,0.9634317846186838,0.600910023661826,0.14816195608644964,0.8370904431702362
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_026,26,"{""max_iter"": 300, ""n_clusters"": 27, ""n_init"": 10}",0.42811334926529493,23,0.12849688032597323,0.9643021270454718,0.6057899535054415,0.14887360158964288,0.8358052467194985
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_027,27,"{""max_iter"": 300, ""n_clusters"": 28, ""n_init"": 10}",0.42795194786612023,24,0.12808830251813313,0.9641911912357919,0.6054817508981645,0.14890695798538048,0.8361028887176587
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_028,28,"{""max_iter"": 300, ""n_clusters"": 29, ""n_init"": 10}",0.4274607118294481,26,0.1277757971991751,0.9640503589267659,0.6046070280829872,0.14875529863823592,0.8362745617275908
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_029,29,"{""max_iter"": 300, ""n_clusters"": 30, ""n_init"": 10}",0.42600920936011966,27,0.12637685614600458,0.9635337022584449,0.6019900614178787,0.14844909009748247,0.8371568461124403
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_001,1,"{""max_eps"": 0.008851381172013503, ""min_samples"": 40, ""xi"": 0.05}",0.5746424693076988,13,0.4671859556094066,0.8650612777515934,0.662034544288004,0.0717374071145012,0.39787532214218674
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_002,2,"{""max_eps"": 0.014726152743291102, ""min_samples"": 40, ""xi"": 0.05}",0.38160285875631256,16,0.11871064470900781,0.8434908862870101,0.5702595201807528,0.14137780519821092,0.7247802415780022
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_003,3,"{""max_eps"": 0.024361676659123005, ""min_samples"": 40, ""xi"": 0.05}",0.6067298462814592,12,0.47560971338917407,0.8468229357242959,0.6616634616865439,0.05935759030719961,0.37121322233512183
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_004,4,"{""max_eps"": 0.044077065525483884, ""min_samples"": 40, ""xi"": 0.05}",0.5524680738953575,14,0.4568992073274529,0.8451562197043816,0.6331557214373299,0.070935008439879,0.38825701237692867
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_005,5,"{""max_eps"": 0.008851381172013503, ""min_samples"": 40, ""xi"": 0.07}",0.6348495339797565,11,0.5522817598251974,0.8726991105973635,0.6993171458922236,0.05922119102188898,0.32041735077216604
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_006,6,"{""max_eps"": 0.014726152743291102, ""min_samples"": 40, ""xi"": 0.07}",0.4967323307479452,15,0.3040396698255909,0.8606520315789116,0.6369727030772856,0.10485596341305485,0.5566123617533207
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_007,7,"{""max_eps"": 0.024361676659123005, ""min_samples"": 40, ""xi"": 0.07}",0.7530364612656786,8,0.6211752949021359,0.8796463258427011,0.7604529964935015,0.03648466537443415,0.2584710309405652
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_008,8,"{""max_eps"": 0.044077065525483884, ""min_samples"": 40, ""xi"": 0.07}",0.7576025161445095,7,0.38422970863800443,0.9057606808463805,0.7395265269465078,0.07903431110895741,0.5215309722083761
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_009,9,"{""max_eps"": 0.008851381172013503, ""min_samples"": 80, ""xi"": 0.05}",0.7751873036224208,3,0.4474335507401275,0.8898930995611705,0.7597371740396487,0.06558582463458987,0.442459548821043
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_010,10,"{""max_eps"": 0.014726152743291102, ""min_samples"": 80, ""xi"": 0.05}",0.7580136429172061,6,0.6187438126431232,0.8723188012538556,0.7691031664164482,0.03404648133296644,0.25357498861073247
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_011,11,"{""max_eps"": 0.024361676659123005, ""min_samples"": 80, ""xi"": 0.05}",0.6856390576321005,10,0.5411001999991143,0.8709718435134618,0.7225195276765529,0.0489286733586698,0.3298716435143475
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_012,12,"{""max_eps"": 0.044077065525483884, ""min_samples"": 80, ""xi"": 0.05}",0.8218074298801984,2,0.4102165885668064,0.9822827771228121,0.780404625349418,0.08397223618935333,0.5720661885560057
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_013,13,"{""max_eps"": 0.008851381172013503, ""min_samples"": 80, ""xi"": 0.07}",0.7751873036224208,4,0.4474335507401275,0.8898930995611705,0.7597371740396487,0.06558582463458987,0.442459548821043
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_014,14,"{""max_eps"": 0.014726152743291102, ""min_samples"": 80, ""xi"": 0.07}",0.7695090046100824,5,0.6620954735716365,0.8810612599082659,0.7823287531302149,0.02936234853010677,0.21896578633662944
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_015,15,"{""max_eps"": 0.024361676659123005, ""min_samples"": 80, ""xi"": 0.07}",0.7366859995013098,9,0.6872987707130758,0.8589280196317486,0.7671375888982623,0.028735448707153017,0.17162924891867282
bellevue_ne8th,optics,bellevue_ne8th|optics|trial_016,16,"{""max_eps"": 0.044077065525483884, ""min_samples"": 80, ""xi"": 0.07}",0.8623317968520057,1,0.7614945866673255,0.921447296551242,0.8551911093912137,0.024267941029171198,0.15995270988391652
