weight_id,family,T,O,B,S,D
local_0044,local,0.30000000000000004,0.25,0.05,0.2,0.2
local_0045,local,0.30000000000000004,0.25,0.05,0.25,0.15000000000000002
local_0046,local,0.30000000000000004,0.25,0.1,0.1,0.25
local_0047,local,0.30000000000000004,0.25,0.1,0.15000000000000002,0.2
local_0048,local,0.30000000000000004,0.25,0.1,0.2,0.15000000000000002
local_0049,local,0.30000000000000004,0.25,0.1,0.25,0.1
local_0050,local,0.30000000000000004,0.25,0.15000000000000002,0.05,0.25
local_0051,local,0.30000000000000004,0.25,0.15000000000000002,0.1,0.2
local_0052,local,0.30000000000000004,0.25,0.15000000000000002,0.15000000000000002,0.15000000000000002
local_0053,local,0.30000000000000004,0.25,0.15000000000000002,0.2,0.1
local_0054,local,0.30000000000000004,0.25,0.15000000000000002,0.25,0.05
local_0055,local,0.30000000000000004,0.25,0.2,0.05,0.2
local_0056,local,0.30000000000000004,0.25,0.2,0.1,0.15000000000000002
local_0057,local,0.30000000000000004,0.25,0.2,0.15000000000000002,0.1
local_0058,local,0.30000000000000004,0.25,0.2,0.2,0.05
local_0059,local,0.30000000000000004,0.25,0.25,0.05,0.15000000000000002
local_0060,local,0.30000000000000004,0.25,0.25,0.1,0.1
local_0061,local,0.30000000000000004,0.25,0.25,0.15000000000000002,0.05
local_0062,local,0.30000000000000004,0.30000000000000004,0.05,0.1,0.25
local_0063,local,0.30000000000000004,0.30000000000000004,0.05,0.15000000000000002,0.2
local_0064,local,0.30000000000000004,0.30000000000000004,0.05,0.2,0.15000000000000002
local_0065,local,0.30000000000000004,0.30000000000000004,0.05,0.25,0.1
local_0066,local,0.30000000000000004,0.30000000000000004,0.1,0.05,0.25
local_0067,local,0.30000000000000004,0.30000000000000004,0.1,0.1,0.2
local_0068,local,0.30000000000000004,0.30000000000000004,0.1,0.15000000000000002,0.15000000000000002
local_0069,local,0.30000000000000004,0.30000000000000004,0.1,0.2,0.1
local_0070,local,0.30000000000000004,0.30000000000000004,0.1,0.25,0.05
local_0071,local,0.30000000000000004,0.30000000000000004,0.15000000000000002,0.05,0.2
local_0072,local,0.30000000000000004,0.30000000000000004,0.15000000000000002,0.1,0.15000000000000002
local_0073,local,0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.1
local_0074,local,0.30000000000000004,0.30000000000000004,0.15000000000000002,0.2,0.05
