scope,scene,method,statistic,variable_x,variable_y,value
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_one,S,,0.0
scene_method,bellevue_150th_eastgate,kmeans,variance,D,,0.005193013423566067
scene_method,bellevue_150th_eastgate,kmeans,pearson_with_original_EMAS,D,EMAS_HG,0.9108488716954142
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_zero,D,,0.0
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_one,D,,0.0
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,T,T,0.9999999999999999
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,T,O,
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,T,B,-0.41681415491008034
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,T,S,0.8531863122673612
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,T,D,0.8796387162156805
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,O,O,1.0
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,O,B,
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,O,S,
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,O,D,
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,B,B,1.0
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,B,S,-0.07459747171843328
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,B,D,-0.059193157913425894
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,S,S,0.9999999999999999
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,S,D,0.9715660237450255
scene_method,bellevue_150th_eastgate,kmeans,component_pearson,D,D,1.0
scene_method,bellevue_150th_eastgate,optics,variance,T,,0.021556712962962958
scene_method,bellevue_150th_eastgate,optics,pearson_with_original_EMAS,T,EMAS_HG,0.9257989420663822
scene_method,bellevue_150th_eastgate,optics,fraction_at_zero,T,,0.0
scene_method,bellevue_150th_eastgate,optics,fraction_at_one,T,,0.0
scene_method,bellevue_150th_eastgate,optics,variance,O,,0.01861424634512737
scene_method,bellevue_150th_eastgate,optics,pearson_with_original_EMAS,O,EMAS_HG,0.1325051823837802
scene_method,bellevue_150th_eastgate,optics,fraction_at_zero,O,,0.0
scene_method,bellevue_150th_eastgate,optics,fraction_at_one,O,,0.0
scene_method,bellevue_150th_eastgate,optics,variance,B,,0.0025081362005805177
scene_method,bellevue_150th_eastgate,optics,pearson_with_original_EMAS,B,EMAS_HG,0.10957975778632045
scene_method,bellevue_150th_eastgate,optics,fraction_at_zero,B,,0.0
scene_method,bellevue_150th_eastgate,optics,fraction_at_one,B,,0.0
scene_method,bellevue_150th_eastgate,optics,variance,S,,0.0006007079281369571
scene_method,bellevue_150th_eastgate,optics,pearson_with_original_EMAS,S,EMAS_HG,0.18694654748767334
scene_method,bellevue_150th_eastgate,optics,fraction_at_zero,S,,0.0
scene_method,bellevue_150th_eastgate,optics,fraction_at_one,S,,0.0
scene_method,bellevue_150th_eastgate,optics,variance,D,,0.0010052162784481042
scene_method,bellevue_150th_eastgate,optics,pearson_with_original_EMAS,D,EMAS_HG,0.3612100497113443
scene_method,bellevue_150th_eastgate,optics,fraction_at_zero,D,,0.0
scene_method,bellevue_150th_eastgate,optics,fraction_at_one,D,,0.0
scene_method,bellevue_150th_eastgate,optics,component_pearson,T,T,1.0
scene_method,bellevue_150th_eastgate,optics,component_pearson,T,O,-0.25026918637435147
scene_method,bellevue_150th_eastgate,optics,component_pearson,T,B,0.14098281142989944
scene_method,bellevue_150th_eastgate,optics,component_pearson,T,S,0.050080571609790646
scene_method,bellevue_150th_eastgate,optics,component_pearson,T,D,0.26807818275102874
scene_method,bellevue_150th_eastgate,optics,component_pearson,O,O,1.0
scene_method,bellevue_150th_eastgate,optics,component_pearson,O,B,-0.10960173599298204
scene_method,bellevue_150th_eastgate,optics,component_pearson,O,S,0.3210016264218381
scene_method,bellevue_150th_eastgate,optics,component_pearson,O,D,0.1948223552283144
scene_method,bellevue_150th_eastgate,optics,component_pearson,B,B,1.0
scene_method,bellevue_150th_eastgate,optics,component_pearson,B,S,-0.7866812212151653
scene_method,bellevue_150th_eastgate,optics,component_pearson,B,D,-0.7442120349608503
scene_method,bellevue_150th_eastgate,optics,component_pearson,S,S,1.0
scene_method,bellevue_150th_eastgate,optics,component_pearson,S,D,0.894863425347327
scene_method,bellevue_150th_eastgate,optics,component_pearson,D,D,0.9999999999999998
scene_method,bellevue_150th_newport,hdbscan,variance,T,,0.004629629629629628
scene_method,bellevue_150th_newport,hdbscan,pearson_with_original_EMAS,T,EMAS_HG,0.999043466253594
scene_method,bellevue_150th_newport,hdbscan,fraction_at_zero,T,,0.0
scene_method,bellevue_150th_newport,hdbscan,fraction_at_one,T,,0.0
scene_method,bellevue_150th_newport,hdbscan,variance,O,,4.9106941735338215e-08
scene_method,bellevue_150th_newport,hdbscan,pearson_with_original_EMAS,O,EMAS_HG,-0.6081628251513853
scene_method,bellevue_150th_newport,hdbscan,fraction_at_zero,O,,0.0
scene_method,bellevue_150th_newport,hdbscan,fraction_at_one,O,,0.0
scene_method,bellevue_150th_newport,hdbscan,variance,B,,1.3859620042318128e-08
scene_method,bellevue_150th_newport,hdbscan,pearson_with_original_EMAS,B,EMAS_HG,-0.42886775545095085
scene_method,bellevue_150th_newport,hdbscan,fraction_at_zero,B,,0.0
scene_method,bellevue_150th_newport,hdbscan,fraction_at_one,B,,0.0
scene_method,bellevue_150th_newport,hdbscan,variance,S,,0.00011916355489716549
scene_method,bellevue_150th_newport,hdbscan,pearson_with_original_EMAS,S,EMAS_HG,0.9784246942078284
scene_method,bellevue_150th_newport,hdbscan,fraction_at_zero,S,,0.0
scene_method,bellevue_150th_newport,hdbscan,fraction_at_one,S,,0.0
scene_method,bellevue_150th_newport,hdbscan,variance,D,,0.0030241591944070545
scene_method,bellevue_150th_newport,hdbscan,pearson_with_original_EMAS,D,EMAS_HG,0.9725804904761399
scene_method,bellevue_150th_newport,hdbscan,fraction_at_zero,D,,0.0
scene_method,bellevue_150th_newport,hdbscan,fraction_at_one,D,,0.0
scene_method,bellevue_150th_newport,hdbscan,component_pearson,T,T,0.9999999999999998
scene_method,bellevue_150th_newport,hdbscan,component_pearson,T,O,-0.5940885257860047
scene_method,bellevue_150th_newport,hdbscan,component_pearson,T,B,-0.41830405871534115
scene_method,bellevue_150th_newport,hdbscan,component_pearson,T,S,0.968468131105122
scene_method,bellevue_150th_newport,hdbscan,component_pearson,T,D,0.9614809289952552
scene_method,bellevue_150th_newport,hdbscan,component_pearson,O,O,1.0
scene_method,bellevue_150th_newport,hdbscan,component_pearson,O,B,-0.3057548072635403
scene_method,bellevue_150th_newport,hdbscan,component_pearson,O,S,-0.6662750782468154
scene_method,bellevue_150th_newport,hdbscan,component_pearson,O,D,-0.6646837039036148
scene_method,bellevue_150th_newport,hdbscan,component_pearson,B,B,1.0
scene_method,bellevue_150th_newport,hdbscan,component_pearson,B,S,-0.45840275211746706
scene_method,bellevue_150th_newport,hdbscan,component_pearson,B,D,-0.46940349083451494
scene_method,bellevue_150th_newport,hdbscan,component_pearson,S,S,1.0
scene_method,bellevue_150th_newport,hdbscan,component_pearson,S,D,0.9995865455119718
scene_method,bellevue_150th_newport,hdbscan,component_pearson,D,D,1.0
scene_method,bellevue_150th_newport,kmeans,variance,T,,0.1077255912273748
scene_method,bellevue_150th_newport,kmeans,pearson_with_original_EMAS,T,EMAS_HG,0.997674850256444
scene_method,bellevue_150th_newport,kmeans,fraction_at_zero,T,,0.2413793103448276
scene_method,bellevue_150th_newport,kmeans,fraction_at_one,T,,0.034482758620689655
scene_method,bellevue_150th_newport,kmeans,variance,O,,0.0
scene_method,bellevue_150th_newport,kmeans,pearson_with_original_EMAS,O,EMAS_HG,
scene_method,bellevue_150th_newport,kmeans,fraction_at_zero,O,,0.0
scene_method,bellevue_150th_newport,kmeans,fraction_at_one,O,,1.0
scene_method,bellevue_150th_newport,kmeans,variance,B,,0.019221910755778608
scene_method,bellevue_150th_newport,kmeans,pearson_with_original_EMAS,B,EMAS_HG,-0.24354450864134422
scene_method,bellevue_150th_newport,kmeans,fraction_at_zero,B,,0.0
scene_method,bellevue_150th_newport,kmeans,fraction_at_one,B,,0.0
scene_method,bellevue_150th_newport,kmeans,variance,S,,0.00850293537572828
scene_method,bellevue_150th_newport,kmeans,pearson_with_original_EMAS,S,EMAS_HG,0.6644948959845373
scene_method,bellevue_150th_newport,kmeans,fraction_at_zero,S,,0.0
scene_method,bellevue_150th_newport,kmeans,fraction_at_one,S,,0.0
scene_method,bellevue_150th_newport,kmeans,variance,D,,0.01043806659109662
scene_method,bellevue_150th_newport,kmeans,pearson_with_original_EMAS,D,EMAS_HG,0.6803241651547436
scene_method,bellevue_150th_newport,kmeans,fraction_at_zero,D,,0.0
scene_method,bellevue_150th_newport,kmeans,fraction_at_one,D,,0.0
scene_method,bellevue_150th_newport,kmeans,component_pearson,T,T,1.0
scene_method,bellevue_150th_newport,kmeans,component_pearson,T,O,
scene_method,bellevue_150th_newport,kmeans,component_pearson,T,B,-0.26587267423212163
scene_method,bellevue_150th_newport,kmeans,component_pearson,T,S,0.6423710157867556
scene_method,bellevue_150th_newport,kmeans,component_pearson,T,D,0.6537745523591939
scene_method,bellevue_150th_newport,kmeans,component_pearson,O,O,1.0
scene_method,bellevue_150th_newport,kmeans,component_pearson,O,B,
scene_method,bellevue_150th_newport,kmeans,component_pearson,O,S,
scene_method,bellevue_150th_newport,kmeans,component_pearson,O,D,
scene_method,bellevue_150th_newport,kmeans,component_pearson,B,B,0.9999999999999998
scene_method,bellevue_150th_newport,kmeans,component_pearson,B,S,-0.6736406741106996
scene_method,bellevue_150th_newport,kmeans,component_pearson,B,D,-0.6125432214146859
scene_method,bellevue_150th_newport,kmeans,component_pearson,S,S,1.0
scene_method,bellevue_150th_newport,kmeans,component_pearson,S,D,0.9731295861539742
scene_method,bellevue_150th_newport,kmeans,component_pearson,D,D,1.0
scene_method,bellevue_150th_newport,optics,variance,T,,0.0241970486111111
scene_method,bellevue_150th_newport,optics,pearson_with_original_EMAS,T,EMAS_HG,0.971316217250182
scene_method,bellevue_150th_newport,optics,fraction_at_zero,T,,0.0
scene_method,bellevue_150th_newport,optics,fraction_at_one,T,,0.0
scene_method,bellevue_150th_newport,optics,variance,O,,0.057665355824379094
