source,source_row,scene,method,selection_strategy,trial_index,expected_target,cluster_count_error,pct_outliers,largest_cluster_ratio,silhouette_clustered_only,davies_bouldin_clustered_only,T,O,B,S,D,stored_EMAS_HG,recomputed_EMAS_HG,absolute_difference,tolerance,within_tolerance
development_candidates,134,bellevue_150th_eastgate,hdbscan,,4.0,9,3,2.945074363127669,0.1641632529206493,0.765380427808961,0.3143469055546696,0.6666666666666667,0.9705492563687234,0.8358367470793507,0.8826902139044805,0.7608341418645396,0.7753792948919151,0.7753792948919151,0.0,1e-12,True
development_candidates,135,bellevue_150th_eastgate,hdbscan,,5.0,9,1,2.900898247680754,0.1640885653624507,0.7403213694737386,0.3691751495017323,0.8888888888888888,0.9709910175231925,0.8359114346375494,0.8701606847368692,0.7303667469891767,0.8822865345854425,0.8822865345854425,0.0,1e-12,True
development_candidates,136,bellevue_150th_eastgate,hdbscan,,6.0,9,1,2.871447504049477,0.164038811400849,0.7348512715046156,0.3722523477838459,0.8888888888888888,0.9712855249595053,0.835961188599151,0.8674256357523078,0.7287289408649769,0.8819131259579891,0.8819131259579891,0.0,1e-12,True
development_candidates,137,bellevue_150th_eastgate,optics,,1.0,9,1,45.11853924311589,0.2125033539039442,0.7655519268705169,0.2577532141643918,0.8888888888888888,0.5488146075688412,0.7874966460960557,0.8827759634352584,0.7950685307247383,0.800741479983818,0.800741479983818,0.0,1e-12,True
development_candidates,138,bellevue_150th_eastgate,optics,,2.0,9,5,42.29126785451333,0.2424087777494258,0.7386259479579841,0.3009063143111379,0.4444444444444444,0.5770873214548666,0.7575912222505742,0.869312973978992,0.7686948621888462,0.5771995923550368,0.5771995923550368,0.0,1e-12,True
development_candidates,139,bellevue_150th_eastgate,optics,,3.0,9,3,38.18288911795023,0.3558837541686517,0.8662703242020406,0.1680999234233917,0.6666666666666667,0.6181711088204978,0.6441162458313483,0.9331351621010203,0.8560911442141564,0.7003018103120854,0.7003018103120854,0.0,1e-12,True
development_candidates,140,bellevue_150th_eastgate,optics,,4.0,9,3,35.09056103666617,0.3484573502722323,0.8495371889212872,0.1901171799656884,0.6666666666666667,0.6490943896333383,0.6515426497277677,0.9247685944606436,0.8402533942320121,0.7048086751020434,0.7048086751020434,0.0,1e-12,True
development_candidates,141,bellevue_150th_eastgate,optics,,5.0,9,1,45.11853924311589,0.2125033539039442,0.7691204328290681,0.255671687560088,0.8888888888888888,0.5488146075688412,0.7874966460960557,0.8845602164145341,0.7963865156051364,0.8010517037697853,0.8010517037697853,0.0,1e-12,True
development_candidates,142,bellevue_150th_eastgate,optics,,6.0,9,5,34.57517302311884,0.2138194913346837,0.7543007852929525,0.3115507636720762,0.4444444444444444,0.6542482697688116,0.7861805086653163,0.8771503926464763,0.76245619132591,0.5956505854397548,0.5956505854397548,0.0,1e-12,True
development_candidates,143,bellevue_150th_eastgate,optics,,7.0,9,3,25.401266381976143,0.2949072246348204,0.8622170527094108,0.1956623766195609,0.6666666666666667,0.7459873361802385,0.7050927753651797,0.9311085263547054,0.8363564995891668,0.7297865807002863,0.7297865807002863,0.0,1e-12,True
development_candidates,144,bellevue_150th_eastgate,optics,,8.0,9,2,37.03431011633044,0.3592142188961646,0.8682007345024816,0.2013692159803137,0.7777777777777778,0.6296568988366956,0.6407857811038353,0.9341003672512408,0.8323835725922134,0.7555472407509569,0.7555472407509569,0.0,1e-12,True
development_candidates,145,bellevue_150th_eastgate,optics,,9.0,9,2,58.15049329995583,0.2638986629134412,0.842719278368442,0.2186928709958534,0.7777777777777778,0.4184950670004417,0.7361013370865588,0.9213596391842209,0.8205512839201654,0.7203891283080717,0.7203891283080717,0.0,1e-12,True
development_candidates,146,bellevue_150th_eastgate,optics,,10.0,9,1,39.861581504933,0.2137610186092066,0.7640622747396102,0.2661144818676847,0.8888888888888888,0.60138418495067,0.7862389813907934,0.8820311373698051,0.7898179938080078,0.810530092691439,0.810530092691439,0.0,1e-12,True
development_candidates,147,bellevue_150th_eastgate,optics,,11.0,9,2,18.5097923722574,0.2661727502710517,0.8624429267490686,0.1709020101597066,0.7777777777777778,0.814902076277426,0.7338272497289483,0.9312214633745344,0.8540424316665097,0.8037784186213733,0.8037784186213733,0.0,1e-12,True
development_candidates,148,bellevue_150th_eastgate,optics,,12.0,9,4,10.101605065527904,0.2502866502866503,0.838801571718906,0.2496775993475562,0.5555555555555556,0.8989839493447209,0.7497133497133497,0.9194007858594531,0.8002063896496903,0.7045066201689714,0.7045066201689714,0.0,1e-12,True
development_candidates,149,bellevue_150th_eastgate,optics,,13.0,9,2,58.15049329995583,0.2638986629134412,0.842719278368442,0.2186928709958534,0.7777777777777778,0.4184950670004417,0.7361013370865588,0.9213596391842209,0.8205512839201654,0.7203891283080717,0.7203891283080717,0.0,1e-12,True
development_candidates,150,bellevue_150th_eastgate,optics,,14.0,9,1,37.68222647621853,0.2062854442344045,0.7423231862449011,0.301253257914767,0.8888888888888888,0.6231777352378147,0.7937145557655955,0.8711615931224506,0.7684899107207467,0.8124165974528866,0.8124165974528866,0.0,1e-12,True
development_candidates,151,bellevue_150th_eastgate,optics,,15.0,9,1,22.117508467088797,0.2785025524673851,0.8664390606879109,0.1547861333286758,0.8888888888888888,0.778824915329112,0.7214974475326149,0.9332195303439554,0.8659612123307161,0.8522772465309955,0.8522772465309955,0.0,1e-12,True
development_candidates,152,bellevue_150th_eastgate,optics,,16.0,9,3,13.709321160359298,0.2607508532423208,0.8413682397240885,0.2495637069096419,0.6666666666666667,0.862906788396407,0.7392491467576792,0.9206841198620442,0.8002793250719082,0.751935950181778,0.751935950181778,0.0,1e-12,True
development_candidates,153,bellevue_150th_se38th,kmeans,,1.0,18,16,0.0,0.6774869109947644,0.7129005282934118,0.4066394577346958,0.11111111111111116,1.0,0.32251308900523556,0.8564502641467059,0.71091422503563,0.4445433133743127,0.44454331337431274,5.551115123125783e-17,1e-12,True
