method_family,method_label,variant_id,scene_id,method,configuration_id,total_test_trajectories,valid_reference_trajectories,excluded_reference_trajectories,reference_coverage_pct,observed_target_abs_error,legal_target_abs_error,n_non_noise_clusters,noise_pct_all_test,ari,nmi,purity,homogeneity,completeness,v_measure,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_newport,optics,0324c204e3c5ba03d4905cbd7b1c1ae50b301dcec3fc910cdcd0f6890311607a,3924.0,3852.0,72.0,98.1651376147,6.0,9.0,3.0,65.4179408767,0.0804003015516,0.339909750209,0.626947040498,0.278410252286,0.436282468279,0.339909750209,0.222222222222,0.107954077024,0.143909061066,0.726635514019,0.336188992731,0.455265448668
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_se38th,hdbscan,a4ef2ddfa9f8b85b7ee4b4a1734660a639642abe523363551553d3d919e97850,3713.0,3422.0,291.0,92.162671694,2.0,1.0,11.0,11.6617290601,0.462546131873,0.745430800756,0.990940970193,0.968289736233,0.605963815087,0.745430800756,0.777777777778,0.636650489485,0.687285871508,0.993571011105,0.588836937463,0.723355844813
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_se38th,kmeans,35e068305ff5ac5238c0f0dda1aaeb3f57dfe8ff3c68e9abacbb4229ab599150,3713.0,3422.0,291.0,92.162671694,3.0,0.0,12.0,0.0,0.85910830094,0.897791278926,0.999415546464,0.998033409114,0.815847807507,0.897791278926,0.996913580247,0.923127184239,0.952815971747,0.999431781284,0.857101110462,0.914932097325
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_se38th,optics,b33ab813c2b33cfe495830f9fd2a1169ad8505ce82838b1d4c6fec5900cc2f06,3713.0,3422.0,291.0,92.162671694,4.0,7.0,5.0,74.1987611096,-0.0565898318967,0.222529417144,0.590005844535,0.193575317936,0.261668592948,0.222529417144,0.222222222222,0.0263612058544,0.045636349885,0.802746931619,0.105493863238,0.181327631685
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_ne8th,hdbscan,1de3f50993460bc24a15939d263c34011e3d69ae0a64bb14926b8d3886aa10ea,8037.0,7510.0,527.0,93.4428269255,5.0,3.0,15.0,7.46547219112,0.57606738953,0.783733757215,0.953528628495,0.941214253222,0.671397932446,0.783733757215,0.8,0.592008978849,0.668099127246,0.993075898802,0.612916111851,0.75171450947
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_ne8th,kmeans,5102af3e0438d2a8665a978ee08942252f56a34ee08d71cacd515a9103f10d6d,8037.0,7510.0,527.0,93.4428269255,2.0,4.0,8.0,0.0,0.996158027973,0.992153222173,0.993075898802,0.984967682054,0.999444372702,0.992153222173,0.786046434828,0.8,0.792617239596,0.986697303831,0.993075898802,0.989758554105
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_ne8th,optics,bda4c8327dec4b7e70c711bfeb8361ed172cb16d06cd287eaf7e66da9632e1a0,8037.0,7510.0,527.0,93.4428269255,3.0,1.0,13.0,65.0242627846,0.103039019608,0.418036304847,0.555659121172,0.367860285864,0.484062229812,0.418036304847,0.7,0.214059602699,0.299461588877,0.978561917443,0.237549933422,0.359315014933
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_116th_ne12th,hdbscan,30ba9150076cb4ad72c9706662ed3ce903db76ec8b1f8433d1f1990d9e07ef3c,964.0,864.0,100.0,89.6265560166,6.0,8.0,4.0,0.0,0.753097054756,0.832407301178,0.811342592593,0.712926093163,1.0,0.832407301178,0.329509453985,0.4,0.360861629005,0.661099720996,0.811342592593,0.727762516937
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_116th_ne12th,kmeans,592fc7bce7e5ee5622e2f88d530ec19b3836758025ee613a15e9b235825d5a43,964.0,864.0,100.0,89.6265560166,0.0,2.0,10.0,0.0,0.952814774696,0.971665540885,0.994212962963,0.985271667206,0.95843008388,0.971665540885,0.897807017544,0.889215686275,0.893191870685,0.988552834633,0.96875,0.977894413404
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_116th_ne12th,optics,0ab8476d5daf4c584c4d846ead50e55cfdf572aea34a501f8e395356c40ae60f,964.0,864.0,100.0,89.6265560166,2.0,4.0,8.0,31.1203319502,0.417493916695,0.704216803215,0.797453703704,0.725137095716,0.684469768013,0.704216803215,0.592063492063,0.439388118874,0.485410687303,0.899066725456,0.552083333333,0.65957670942
