scene_id,omitted_point_id,omitted_point_was_frozen_inlier,remaining_point_count,frozen_target,status,estimation_method,remaining_inlier_count,matrix_frobenius_difference,resulting_entry_regions,resulting_exit_regions,resulting_support_threshold,resulting_target,target_difference_from_frozen,endpoint_displacement_median_px,endpoint_displacement_p95_px,angular_feature_displacement_median_rad,angular_feature_displacement_p95_rad,normalized_radial_feature_displacement_median,normalized_radial_feature_displacement_p95,entry_region_assignment_change_fraction,exit_region_assignment_change_fraction,od_pair_assignment_change_fraction
bellevue_116th_ne12th,11,True,25,10,ok,ransac_10px,16,27.591080484555278,4,4,0.0025,10,0,2.795550635193807,6.8755692533997985,0.0053753097177331455,0.035579635953483346,0.0014245822128445586,0.004678975855956311,0.0,0.0,0.0
bellevue_116th_ne12th,12,True,25,10,ok,ransac_10px,16,35.63074233602154,4,4,0.0025,10,0,2.986156318119986,8.802077258332666,0.005686353848853853,0.04066140521375655,0.0012403001383526346,0.005327624227875437,0.0,0.0,0.0
bellevue_116th_ne12th,13,True,25,10,ok,ransac_10px,15,259.734152188034,4,4,0.0025,10,0,30.286712012476997,55.213207611523664,0.03918558304071601,0.17921747342281602,0.010903732031258766,0.02589399829140447,0.0,0.0,0.0
bellevue_116th_ne12th,14,True,25,10,ok,ransac_10px,15,259.734152188034,4,4,0.0025,10,0,30.286712012476997,55.213207611523664,0.03918558304071601,0.17921747342281602,0.010903732031258766,0.02589399829140447,0.0,0.0,0.0
bellevue_116th_ne12th,15,False,25,10,ok,ransac_10px,15,259.734152188034,4,4,0.0025,10,0,30.286712012476997,55.213207611523664,0.03918558304071601,0.17921747342281602,0.010903732031258766,0.02589399829140447,0.0,0.0,0.0
bellevue_116th_ne12th,16,False,25,10,ok,ransac_10px,14,259.734152188034,4,4,0.0025,10,0,30.286712012476997,55.213207611523664,0.03918558304071601,0.17921747342281602,0.010903732031258766,0.02589399829140447,0.0,0.0,0.0
bellevue_116th_ne12th,17,False,25,10,ok,ransac_10px,17,45.68778849600522,4,4,0.0025,10,0,5.37111845372401,12.26766015447333,0.015344307998516937,0.032033816017556394,0.0016923179735810479,0.008977141366969019,0.0,0.0,0.0
bellevue_116th_ne12th,18,True,25,10,ok,ransac_10px,15,194.9272481546089,4,4,0.0025,10,0,23.277978973718277,45.01272469741282,0.04003111440632423,0.16365496979223124,0.006287857414542457,0.02212138867141967,0.0,0.0,0.0
bellevue_116th_ne12th,19,True,25,10,ok,ransac_10px,15,194.9272481546089,4,4,0.0025,10,0,23.277978973718277,45.01272469741282,0.04003111440632423,0.16365496979223124,0.006287857414542457,0.02212138867141967,0.0,0.0,0.0
bellevue_116th_ne12th,20,False,25,10,ok,ransac_10px,15,194.9272481546089,4,4,0.0025,10,0,23.277978973718277,45.01272469741282,0.04003111440632423,0.16365496979223124,0.006287857414542457,0.02212138867141967,0.0,0.0,0.0
bellevue_116th_ne12th,21,True,25,10,ok,ransac_10px,15,487.874330732589,4,4,0.0025,10,0,26.478804900369873,61.46042103520511,0.04012249142599755,0.2700364634595552,0.01045558402886073,0.02836875960988157,0.0,0.0,0.0
bellevue_116th_ne12th,22,False,25,10,ok,ransac_10px,15,194.9272481546089,4,4,0.0025,10,0,23.277978973718277,45.01272469741282,0.04003111440632423,0.16365496979223124,0.006287857414542457,0.02212138867141967,0.0,0.0,0.0
bellevue_116th_ne12th,23,True,25,10,ok,ransac_10px,14,487.874330732589,4,4,0.0025,10,0,26.478804900369873,61.46042103520511,0.04012249142599755,0.2700364634595552,0.01045558402886073,0.02836875960988157,0.0,0.0,0.0
bellevue_116th_ne12th,24,True,25,10,ok,ransac_10px,14,201.7392157678706,4,4,0.0025,10,0,23.731978508720697,47.78365128310072,0.04054682067112603,0.16356147567341722,0.006904427711811656,0.022447101388198422,0.0,0.0,0.0
bellevue_116th_ne12th,25,True,25,10,ok,ransac_10px,15,387.93570130288396,4,4,0.0025,10,0,23.69536735949894,56.24427576870269,0.03623366477927048,0.21465357979237987,0.0090848695929596,0.0295835473280556,0.0,0.0,0.0
bellevue_116th_ne12th,26,False,25,10,ok,ransac_10px,16,338.5823152577328,4,4,0.0025,10,0,23.059615020261504,51.42314797087935,0.03339373091191922,0.20559031280204704,0.008431927007397685,0.027743027279174083,0.0,0.0,0.0
bellevue_150th_newport,1,True,19,12,ok,ransac_10px,11,10311.636271903677,4,4,0.001,12,0,16.315880177617544,120.72383460840308,0.027046309324683326,0.13189848368447593,0.014583691101386683,0.06646070789954714,0.0008254230293025176,0.006190672719768881,0.006603384234420141
