release,scene,class_id,class_name,count,count_basis,mean_confidence,median_confidence,p10,p25,p75,p90
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,46719,bounded_proxy_sample,0.4825928440792871,0.4741765558719635,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,3,3,7,bounded_proxy_sample,0.14346692923988616,0.13504593074321747,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,103,bounded_proxy_sample,0.287719251027385,0.28197506070137024,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,1850,bounded_proxy_sample,0.42784509189225534,0.4057784527540207,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,50027,bounded_proxy_sample,0.45130006010796475,0.4529191553592682,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,10,10,4,bounded_proxy_sample,0.2353455275297165,0.21985001862049103,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,2627,bounded_proxy_sample,0.2473311737395304,0.21646490693092346,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,42115,bounded_proxy_sample,0.4767795962552751,0.4534383714199066,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,3,3,1,bounded_proxy_sample,0.3285534083843231,0.3285534083843231,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,13,bounded_proxy_sample,0.3927524256018492,0.38079825043678284,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,2019,bounded_proxy_sample,0.4366683220216813,0.42479971051216125,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,8,8,1,bounded_proxy_sample,0.18753644824028015,0.18753644824028015,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,53211,bounded_proxy_sample,0.4613595522130986,0.47190314531326294,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,10,10,13,bounded_proxy_sample,0.22044200679430595,0.1465434730052948,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,3853,bounded_proxy_sample,0.23570774681237713,0.21089817583560944,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,31773,bounded_proxy_sample,0.48531303556086497,0.4833250045776367,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,97,bounded_proxy_sample,0.33717216420726676,0.3276281952857971,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,933,bounded_proxy_sample,0.3886423330805948,0.37665849924087524,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,63331,bounded_proxy_sample,0.4557869734599876,0.4679481089115143,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,10,10,13,bounded_proxy_sample,0.13888816478160712,0.13369065523147583,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,5435,bounded_proxy_sample,0.2491443793243954,0.23210451006889343,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,16169,bounded_proxy_sample,0.43633063975255043,0.4095855951309204,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,16,bounded_proxy_sample,0.28029749915003777,0.3094623237848282,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,416,bounded_proxy_sample,0.47630244291100937,0.45690859854221344,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,77958,bounded_proxy_sample,0.44486455652536794,0.4545414298772812,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,10,10,6,bounded_proxy_sample,0.11008878921469052,0.10449821501970291,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,6630,bounded_proxy_sample,0.23978083646585138,0.2267792969942093,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,16935,bounded_proxy_sample,0.4295695776256763,0.372550904750824,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,3,3,1,bounded_proxy_sample,0.1410621851682663,0.1410621851682663,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,20,bounded_proxy_sample,0.4836983047425747,0.46479199826717377,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,1726,bounded_proxy_sample,0.6736164216992476,0.7329983711242676,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,74683,bounded_proxy_sample,0.4224214229450473,0.4233315587043762,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,10,10,5,bounded_proxy_sample,0.1315191239118576,0.1320798248052597,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,6616,bounded_proxy_sample,0.24645384386907632,0.2323891967535019,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,18221,bounded_proxy_sample,0.4112495076303624,0.3360041677951813,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,3,bounded_proxy_sample,0.3978929618994395,0.41770610213279724,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,680,bounded_proxy_sample,0.5219936066142776,0.5118603110313416,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,74475,bounded_proxy_sample,0.41368240849669247,0.40649792551994324,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,10,10,5,bounded_proxy_sample,0.1227625384926796,0.12343412637710571,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,6100,bounded_proxy_sample,0.2430339221659376,0.22824542224407196,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,12424,bounded_proxy_sample,0.32169875240528206,0.2809846103191376,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,1,bounded_proxy_sample,0.4055701196193695,0.4055701196193695,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,197,bounded_proxy_sample,0.4220622170924535,0.43063783645629883,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,81266,bounded_proxy_sample,0.402798996811066,0.3904440551996231,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,10,10,12,bounded_proxy_sample,0.11598136237201591,0.12402603402733803,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,7533,bounded_proxy_sample,0.24937428285084792,0.23836375772953033,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,12742,bounded_proxy_sample,0.29607010257300714,0.259907066822052,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,7,bounded_proxy_sample,0.3694312998226711,0.47868138551712036,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,1025,bounded_proxy_sample,0.647896499168582,0.6812199950218201,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,78681,bounded_proxy_sample,0.3976451655575511,0.38514065742492676,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,10,10,12,bounded_proxy_sample,0.19197641623516878,0.14238125830888748,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,20698,bounded_proxy_sample,0.24756040643903873,0.23841919749975204,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,16422,bounded_proxy_sample,0.33298116530068406,0.2810116708278656,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,79,bounded_proxy_sample,0.5022096293447893,0.5516989827156067,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,886,bounded_proxy_sample,0.596853400586892,0.5711438357830048,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,61915,bounded_proxy_sample,0.40569334326947165,0.4041176438331604,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,18494,bounded_proxy_sample,0.264843407591314,0.2577933669090271,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,21395,bounded_proxy_sample,0.41233655400060554,0.35871800780296326,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,3,3,2,bounded_proxy_sample,0.2516903802752495,0.2516903802752495,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,684,bounded_proxy_sample,0.6954790882069116,0.7863188683986664,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,2977,bounded_proxy_sample,0.5220930783599265,0.5145477652549744,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,56448,bounded_proxy_sample,0.41022858643416493,0.40884387493133545,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,1270,bounded_proxy_sample,0.2087501903453211,0.19502858817577362,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,31622,bounded_proxy_sample,0.5018248540404026,0.48341360688209534,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,3,3,4,bounded_proxy_sample,0.1546069160103798,0.1361141800880432,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,982,bounded_proxy_sample,0.7342091475949146,0.85905322432518,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,2621,bounded_proxy_sample,0.39889215125081556,0.3763265013694763,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,63501,bounded_proxy_sample,0.3718931199080347,0.32915329933166504,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,261,bounded_proxy_sample,0.28906581867700337,0.30262258648872375,,,,
